順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
122,京都・障3170芝,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,53,0.0,3.3着,2.0人気,4.3,,160,0,0.0%,33.3%,0.0%,217.30,13.71,52.52
123,京都・芝3000外,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,26,0.0,8.2着,3.8人気,7.4,,130,0,0.0%,20.0%,0.0%,186.40,12.43,57.94
124,中山・障3200ダ,  0-  0-  2-  5/  7,0.0%,0.0%,28.6%,0,42,0.0,4.7着,4.0人気,29.1,,150,0,0.0%,0.0%,28.6%,218.26,13.64,52.78
125,中山・芝3600,  0-  0-  1-  4/  5,0.0%,0.0%,20.0%,0,32,0.0,4.6着,2.2人気,4.9,,160,0,0.0%,0.0%,20.0%,226.86,12.60,57.13
126,中山・障3210芝,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,46,0.0,5.0着,1.7人気,4.4,,140,0,0.0%,0.0%,33.3%,218.37,13.61,52.92
127,中京・障3330芝,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,110,0.0,3.0着,1.0人気,3.1,,110,0,0.0%,0.0%,100.0%,219.90,13.21,54.52
128,中山・障3570芝,  0-  0-  0-  3/  3,0.0%,0.0%,0.0%,0,0,0.0,6.7着,3.3人気,8.3,,,0,0.0%,0.0%,0.0%,242.67,13.59,52.96
129,中山・障4260芝,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0,0.0,4.0着,2.0人気,4.6,,,0,0.0%,0.0%,0.0%,293.00,13.76,52.34
130,阪神・芝2600外,  0-  0-  0-  6/  6,0.0%,0.0%,0.0%,0,0,0.0,7.5着,3.3人気,6.1,,,0,0.0%,0.0%,0.0%,159.88,12.30,58.54
131,東京・芝2300,  0-  0-  0-  2/  2,0.0%,0.0%,0.0%,0,0,0.0,8.5着,2.5人気,5.0,,,0,0.0%,0.0%,0.0%,142.65,12.40,58.04
132,東京・障3100ダ,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0,0.0,8.0着,8.0人気,36.3,,,0,0.0%,0.0%,0.0%,213.30,13.76,52.32
133,中山・障4250芝,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0,0.0,6.0着,1.0人気,1.1,,,0,0.0%,0.0%,0.0%,289.30,13.61,52.89
134,中京・芝3000,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0,0.0,9.0着,3.0人気,6.4,,,0,0.0%,0.0%,0.0%,193.40,12.89,55.84
