中10,8,リュクスパトロール,(美),加藤士津,"加藤士厩舎の当該調教の勝率12.70%　連対率23.10% 複勝率 34.10% 単勝回収率120.90%　複勝回収率97.00%着別度数22-18-19-114/173（2023/8/14～2026/8/17）"
阪10,6,リヴァイ,(栗),高野友和,高野厩舎の当該調教の勝率13.60%　連対率26.50%　複勝率34.10%　単勝回収率110.70%　複勝回収率92.90%　86-82-48-417/633(2023/8/1～2026/8/1)
阪3,3,アルテクィーン,(栗),杉山晴紀,芝→ダート
中6,10,ユウライクスター,(栗),森秀行,"森秀之厩舎の当該調教の勝率13.70%　連対率21.20% 複勝率26.40%　単勝回収率187.60% 複勝回収率122.50%（42-24-16-226/307）2023/8/1～2026/8/4"
中9,2,ジャスパートレノ,(栗),森秀行,"森秀之厩舎の当該調教の勝率13.70%　連対率21.20% 複勝率26.40%　単勝回収率187.60% 複勝回収率122.50%（42-24-16-226/307）2023/8/1～2026/8/4"
阪5,9,ジャスパーレーブ,(栗),森秀行,"森秀之厩舎の当該調教の勝率13.70%　連対率21.20% 複勝率26.40%　単勝回収率187.60% 複勝回収率122.50%（42-24-16-226/307）2023/8/1～2026/8/4"
