順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,中山・ダ1200, 51- 46- 29-258/384,13.3%,25.3%,32.8%,101,89,99.9,6.3着,5.5人気,27.7,765,272,0,0.0%,12.0%,7.6%,72.78,12.13,59.36
2,京都・ダ1800, 46- 42- 39-239/366,12.6%,24.0%,34.7%,62,79,81.5,5.8着,4.8人気,22.3,499,231,0,0.0%,11.5%,10.7%,114.70,12.74,56.49
3,東京・ダ1600, 43- 33- 36-212/324,13.3%,23.5%,34.6%,57,72,82.9,6.1着,4.8人気,24.1,437,208,0,0.0%,10.2%,11.1%,98.56,12.32,58.44
4,中山・ダ1800, 42- 52- 42-284/420,10.0%,22.4%,32.4%,82,86,74.9,6.5着,5.6人気,33.9,827,267,0,0.0%,12.4%,10.0%,116.14,12.90,55.79
5,阪神・ダ1800, 42- 35- 22-183/282,14.9%,27.3%,35.1%,86,83,92.8,5.6着,4.8人気,24.2,583,240,0,0.0%,12.4%,7.8%,115.40,12.82,56.15
6,京都・ダ1400, 37- 25- 20-159/241,15.4%,25.7%,34.0%,75,65,100.7,5.9着,4.8人気,22.6,491,192,0,0.0%,10.4%,8.3%,86.03,12.29,58.58
7,小倉・芝1200, 36- 24- 25-144/229,15.7%,26.2%,37.1%,180,104,107.4,6.1着,5.4人気,19.4,1145,282,0,0.0%,10.5%,10.9%,69.66,11.61,62.02
8,東京・芝1800, 36- 19- 16-118/189,19.0%,29.1%,37.6%,91,71,113.6,5.3着,4.8人気,23.2,481,193,0,0.0%,10.1%,8.5%,107.82,11.98,60.10
9,小倉・ダ1700, 32- 24- 25-120/201,15.9%,27.9%,40.3%,111,98,105.3,5.8着,5.0人気,17.3,702,244,0,0.0%,11.9%,12.4%,106.65,12.55,57.39
10,東京・ダ1400, 29- 26- 27-187/269,10.8%,20.4%,30.5%,117,101,90.8,6.6着,6.0人気,31.2,1092,334,0,0.0%,9.7%,10.0%,85.97,12.28,58.63
11,中京・ダ1800, 26- 21- 28-134/209,12.4%,22.5%,35.9%,64,88,71.1,5.6着,4.7人気,20.2,522,249,0,0.0%,10.0%,13.4%,115.18,12.80,56.26
12,京都・ダ1200, 24- 23- 14-135/196,12.2%,24.0%,31.1%,70,64,75.7,6.2着,5.0人気,25.1,572,209,0,0.0%,11.7%,7.1%,73.16,12.19,59.05
13,中山・芝1600, 23- 19- 18-147/207,11.1%,20.3%,29.0%,62,65,78.0,6.2着,5.4人気,26.9,561,227,0,0.0%,9.2%,8.7%,94.94,11.87,60.67
