阪2,5,ショウナンバトレニ,(栗),高野友和,高野厩舎の当該調教の勝率13.60%　連対率26.50%　複勝率34.10%　単勝回収率110.70%　複勝回収率92.90%　86-82-48-417/633(2023/8/1～2026/8/1)
阪6,3,エピドゥブレ,(栗),高野友和,高野厩舎の当該調教の勝率13.60%　連対率26.50%　複勝率34.10%　単勝回収率110.70%　複勝回収率92.90%　86-82-48-417/633(2023/8/1～2026/8/1)
中12,8,インナーパッション,(美),斎藤誠,"斎藤誠厩舎の当該調教の勝率14.90%　連対率23.00% 複勝率 31.00% 単勝回収率　125.30% 複勝回収率　77.60%着別度数13-7-7-60/87（2023/8/24～2026/8/27）"
中7,13,レッドジェルブロワ,(美),鹿戸雄一,"鹿戸厩舎の当該調教の勝率21.70% 連対率 34.80% 複勝率 40.60% 単勝回収率　149.30% 複勝回収率　86.70%　着別度数15-9-4-41/69（2023/8/24～2026/8/27）"
中12,3,ナリノシャーウッド,(美),小笠倫弘,小笠厩舎は前日ウッドが入っている馬が狙い目
中9,2,ロケベンドラ,(栗),西園翔太,"前走(12週以内)坂路11秒台加速ラップで連対した馬の勝率25.20%　連対率37.20%　複勝率 44.00% 単勝回収率108.80%　複勝回収率77.90%　75-36-20-167/298(2023/8/1～2026/8/4)"
中11,16,ロードフロンティア,(栗),松下武士,"前走(12週以内)坂路11秒台加速ラップで連対した馬の勝率25.20%　連対率37.20%　複勝率 44.00% 単勝回収率108.80%　複勝回収率77.90%　75-36-20-167/298(2023/8/1～2026/8/4)"
