順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,中山・ダ1800, 57- 66- 49-255/427,13.3%,28.8%,40.3%,68,79,82.3,5.6着,4.4人気,17.2,514,198,0,0.0%,15.5%,11.5%,115.83,12.87,55.95
2,中山・ダ1200, 51- 50- 57-213/371,13.7%,27.2%,42.6%,112,104,85.8,5.5着,4.4人気,16.3,816,244,0,0.0%,13.5%,15.4%,72.70,12.12,59.42
3,京都・ダ1800, 50- 45- 36-245/376,13.3%,25.3%,34.8%,58,64,72.7,5.5着,3.9人気,14.0,440,185,0,0.0%,12.0%,9.6%,114.73,12.75,56.48
4,東京・ダ1600, 45- 40- 40-215/340,13.2%,25.0%,36.8%,95,74,83.2,6.1着,4.3人気,18.4,718,202,0,0.0%,11.8%,11.8%,98.63,12.33,58.40
5,東京・ダ1400, 44- 43- 33-151/271,16.2%,32.1%,44.3%,96,106,98.0,5.5着,4.3人気,14.8,595,240,0,0.0%,15.9%,12.2%,85.81,12.26,58.74
6,京都・ダ1400, 40- 25- 32-144/241,16.6%,27.0%,40.2%,101,82,94.9,5.7着,4.1人気,13.3,612,208,0,0.0%,10.4%,13.3%,86.02,12.29,58.59
7,中京・ダ1800, 39- 15- 25-125/204,19.1%,26.5%,38.7%,111,80,99.0,5.7着,4.1人気,16.9,582,208,0,0.0%,7.4%,12.3%,115.07,12.79,56.32
8,新潟・ダ1800, 36- 20- 29-133/218,16.5%,25.7%,39.0%,89,79,95.3,5.3着,4.1人気,11.7,544,204,0,0.0%,9.2%,13.3%,115.06,12.78,56.32
9,阪神・ダ1800, 35- 38- 36-171/280,12.5%,26.1%,38.9%,58,75,69.3,5.0着,4.0人気,15.3,467,194,0,0.0%,13.6%,12.9%,115.11,12.79,56.29
10,京都・ダ1200, 29- 28- 21-109/187,15.5%,30.5%,41.7%,152,105,91.0,5.3着,4.2人気,13.2,983,253,0,0.0%,15.0%,11.2%,72.96,12.16,59.21
11,小倉・ダ1700, 28- 25- 22-133/208,13.5%,25.5%,36.1%,73,86,83.2,6.0着,4.2人気,12.6,545,240,0,0.0%,12.0%,10.6%,106.77,12.56,57.32
12,阪神・ダ1400, 28- 19- 12-114/173,16.2%,27.2%,34.1%,88,63,91.8,6.1着,4.2人気,15.4,549,186,0,0.0%,11.0%,6.9%,86.08,12.30,58.55
13,福島・芝1200, 27- 19- 23- 97/166,16.3%,27.7%,41.6%,112,85,98.4,5.3着,4.0人気,11.2,693,208,0,0.0%,11.4%,13.9%,70.03,11.67,61.69
14,小倉・芝1200, 26- 25- 24-146/221,11.8%,23.1%,33.9%,77,89,86.3,6.4着,4.8人気,14.1,659,266,0,0.0%,11.3%,10.9%,69.71,11.62,61.97
15,福島・ダ1700, 25- 20- 23-104/172,14.5%,26.2%,39.5%,66,79,81.9,5.3着,3.9人気,10.7,460,200,0,0.0%,11.6%,13.4%,107.33,12.63,57.02
16,中山・芝2000, 24- 20- 24- 92/160,15.0%,27.5%,42.5%,103,100,92.3,5.5着,4.4人気,16.4,687,240,0,0.0%,12.5%,15.0%,121.66,12.17,59.18
17,東京・芝1400, 22- 26- 14- 91/153,14.4%,31.4%,40.5%,98,93,100.4,5.0着,4.6人気,19.3,684,232,0,0.0%,17.0%,9.2%,82.04,11.72,61.43
18,東京・芝1800, 22- 25- 25-101/173,12.7%,27.2%,41.6%,49,78,74.8,4.9着,4.1人気,16.1,389,192,0,0.0%,14.5%,14.5%,107.69,11.97,60.18
19,札幌・ダ1700, 22- 20- 20- 91/153,14.4%,27.5%,40.5%,66,75,75.6,5.2着,3.6人気,12.7,460,186,0,0.0%,13.1%,13.1%,107.36,12.63,57.00
20,阪神・芝1600外, 22- 11- 13- 80/126,17.5%,26.2%,36.5%,124,70,97.4,5.2着,3.9人気,10.7,711,192,0,0.0%,8.7%,10.3%,94.38,11.80,61.03
21,中山・芝1200, 22-  9- 18- 55/104,21.2%,29.8%,47.1%,117,101,103.3,5.2着,3.4人気,10.6,555,216,0,0.0%,8.7%,17.3%,68.76,11.46,62.83
22,中京・芝2000, 21- 19- 10- 86/136,15.4%,29.4%,36.8%,85,62,86.8,5.6着,4.1人気,13.7,553,181,0,0.0%,14.0%,7.4%,121.79,12.18,59.12
23,新潟・ダ1200, 20- 22- 18-117/177,11.3%,23.7%,33.9%,74,72,71.4,5.8着,4.3人気,13.0,656,215,0,0.0%,12.4%,10.2%,72.75,12.13,59.38
24,東京・ダ2100, 20- 16-  8- 64/108,18.5%,33.3%,40.7%,88,79,94.1,5.3着,3.9人気,12.4,476,196,0,0.0%,14.8%,7.4%,132.75,12.64,56.95
25,函館・芝1200, 20-  7- 20- 88/135,14.8%,20.0%,34.8%,69,72,78.8,5.7着,3.7人気,11.2,468,217,0,0.0%,5.2%,14.8%,69.63,11.61,62.04
26,中山・芝1600, 19- 26- 24-121/190,10.0%,23.7%,36.3%,40,73,56.7,5.8着,4.1人気,16.3,406,201,0,0.0%,13.7%,12.6%,94.86,11.86,60.72
27,京都・芝2000, 19- 24- 17- 92/152,12.5%,28.3%,39.5%,54,76,67.0,5.0着,3.8人気,15.6,434,198,0,0.0%,15.8%,11.2%,121.80,12.18,59.12
28,中京・ダ1400, 19- 16- 15- 94/144,13.2%,24.3%,34.7%,62,71,85.9,6.1着,4.2人気,12.3,475,209,0,0.0%,11.1%,10.4%,85.74,12.25,58.78
29,東京・芝2000, 19- 16- 14- 74/123,15.4%,28.5%,39.8%,72,69,104.3,5.1着,4.3人気,17.9,470,186,0,0.0%,13.0%,11.4%,120.79,12.08,59.61
30,阪神・芝2000, 18- 10- 12- 54/ 94,19.1%,29.8%,42.6%,82,77,109.9,4.6着,4.0人気,15.3,433,192,0,0.0%,10.6%,12.8%,121.19,12.12,59.41
31,京都・芝1800外, 17- 20- 15- 81/133,12.8%,27.8%,39.1%,61,64,74.1,5.0着,4.2人気,14.3,478,184,0,0.0%,15.0%,11.3%,108.03,12.00,59.98
32,阪神・ダ1200, 17- 17- 14- 76/124,13.7%,27.4%,38.7%,88,81,76.6,5.7着,4.1人気,14.2,645,210,0,0.0%,13.7%,11.3%,73.20,12.20,59.02
