順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,京都・ダ1800, 54- 44- 37-262/397,13.6%,24.7%,34.0%,91,78,88.1,5.8着,4.8人気,19.4,674,236,0,0.0%,11.1%,9.3%,114.96,12.77,56.37
2,中山・ダ1800, 49- 54- 45-281/429,11.4%,24.0%,34.5%,86,70,75.7,6.3着,5.0人気,23.8,753,207,0,0.0%,12.6%,10.5%,116.08,12.90,55.82
3,東京・ダ1600, 45- 34- 30-239/348,12.9%,22.7%,31.3%,134,82,92.4,6.3着,5.2人気,23.9,1042,265,0,0.0%,9.8%,8.6%,98.71,12.34,58.35
4,中山・ダ1200, 39- 42- 47-256/384,10.2%,21.1%,33.3%,36,76,66.5,6.5着,5.2人気,23.4,357,229,0,0.0%,10.9%,12.2%,72.88,12.15,59.28
5,東京・ダ1400, 35- 31- 21-186/273,12.8%,24.2%,31.9%,76,85,96.2,6.4着,5.5人気,23.7,598,267,0,0.0%,11.4%,7.7%,85.98,12.28,58.62
6,福島・芝1200, 34- 14- 14-111/173,19.7%,27.7%,35.8%,164,80,127.5,6.0着,5.0人気,19.8,837,225,0,0.0%,8.1%,8.1%,70.13,11.69,61.60
7,京都・ダ1400, 33- 24- 33-162/252,13.1%,22.6%,35.7%,138,89,93.1,6.1着,5.2人気,22.5,1058,249,0,0.0%,9.5%,13.1%,86.16,12.31,58.50
8,阪神・ダ1800, 30- 36- 28-185/279,10.8%,23.7%,33.7%,100,90,66.6,5.6着,4.5人気,18.3,936,270,0,0.0%,12.9%,10.0%,115.40,12.82,56.15
9,小倉・ダ1700, 30- 23- 26-118/197,15.2%,26.9%,40.1%,109,111,101.7,6.2着,5.0人気,15.6,720,278,0,0.0%,11.7%,13.2%,106.76,12.56,57.33
10,小倉・芝1200, 27- 34- 16-152/229,11.8%,26.6%,33.6%,78,81,77.0,6.5着,5.3人気,19.0,665,241,0,0.0%,14.8%,7.0%,69.73,11.62,61.96
11,福島・ダ1700, 27- 23- 18-120/188,14.4%,26.6%,36.2%,103,90,90.0,5.8着,4.5人気,14.0,720,249,0,0.0%,12.2%,9.6%,107.46,12.64,56.95
12,東京・芝1800, 26- 17- 27-121/191,13.6%,22.5%,36.6%,106,79,89.4,5.6着,5.1人気,27.7,779,221,0,0.0%,8.9%,14.1%,107.95,11.99,60.03
13,東京・芝1400, 26- 17- 11-104/158,16.5%,27.2%,34.2%,145,81,110.4,5.8着,5.3人気,25.6,887,239,0,0.0%,10.8%,7.0%,82.08,11.73,61.40
14,函館・芝1200, 25- 12- 16- 82/135,18.5%,27.4%,39.3%,124,97,117.5,5.4着,4.6人気,14.7,673,254,0,0.0%,8.9%,11.9%,69.67,11.61,62.00
15,京都・ダ1200, 24- 26- 16-127/193,12.4%,25.9%,34.2%,69,90,83.0,6.2着,5.3人気,21.9,560,264,0,0.0%,13.5%,8.3%,73.13,12.19,59.08
16,中京・ダ1800, 24- 21- 23-145/213,11.3%,21.1%,31.9%,53,68,75.5,6.0着,5.2人気,26.5,477,213,0,0.0%,9.9%,10.8%,115.29,12.81,56.20
17,東京・芝1600, 23- 31- 27-137/218,10.6%,24.8%,37.2%,34,72,59.4,5.2着,4.6人気,20.5,330,195,0,0.0%,14.2%,12.4%,94.73,11.84,60.80
18,新潟・ダ1800, 23- 31- 24-146/224,10.3%,24.1%,34.8%,54,77,65.8,5.9着,4.6人気,17.0,529,223,0,0.0%,13.8%,10.7%,115.30,12.81,56.20
19,中京・芝2000, 23- 12- 24- 94/153,15.0%,22.9%,38.6%,91,77,85.0,5.5着,4.5人気,18.7,607,211,0,0.0%,7.8%,15.7%,121.91,12.19,59.06
20,京都・芝2000, 21- 19- 17- 91/148,14.2%,27.0%,38.5%,119,93,92.1,5.2着,4.6人気,18.7,843,248,0,0.0%,12.8%,11.5%,121.93,12.19,59.05
21,小倉・芝2000, 20- 17-  8- 77/122,16.4%,30.3%,36.9%,110,80,102.4,5.7着,4.7人気,15.4,671,222,0,0.0%,13.9%,6.6%,122.27,12.23,58.89
22,阪神・芝1600外, 20- 14- 18- 81/133,15.0%,25.6%,39.1%,139,105,94.8,5.7着,4.9人気,17.5,929,275,0,0.0%,10.5%,13.5%,94.54,11.82,60.93
23,阪神・芝1800外, 20-  9-  6- 52/ 87,23.0%,33.3%,40.2%,204,78,122.4,5.0着,4.6人気,17.7,890,194,0,0.0%,10.3%,6.9%,106.99,11.89,60.57
24,新潟・ダ1200, 19- 18- 13-127/177,10.7%,20.9%,28.2%,56,56,63.0,6.4着,5.0人気,22.7,530,200,0,0.0%,10.2%,7.3%,72.89,12.15,59.27
25,阪神・ダ1400, 18- 22- 16-131/187,9.6%,21.4%,29.9%,76,68,67.8,6.3着,5.2人気,23.2,791,229,0,0.0%,11.8%,8.6%,86.19,12.31,58.47
