順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,京都・ダ1800, 50- 47- 34-265/396,12.6%,24.5%,33.1%,67,66,77.4,5.8着,4.7人気,20.1,536,206,0,0.0%,11.9%,8.6%,114.80,12.76,56.45
2,中山・ダ1800, 48- 58- 45-277/428,11.2%,24.8%,35.3%,82,77,71.7,6.2着,4.9人気,22.0,738,221,0,0.0%,13.6%,10.5%,116.07,12.90,55.83
3,東京・ダ1600, 43- 37- 33-250/363,11.8%,22.0%,31.1%,121,78,82.6,6.3着,5.0人気,21.8,1022,252,0,0.0%,10.2%,9.1%,98.79,12.35,58.30
4,京都・ダ1400, 39- 23- 18-160/240,16.3%,25.8%,33.3%,119,76,105.7,6.2着,5.0人気,20.2,735,230,0,0.0%,9.6%,7.5%,86.09,12.30,58.54
5,中山・ダ1200, 38- 42- 50-255/385,9.9%,20.8%,33.8%,36,74,64.7,6.6着,5.2人気,23.3,366,222,0,0.0%,10.9%,13.0%,72.85,12.14,59.30
6,福島・芝1200, 37- 11- 14-110/172,21.5%,27.9%,36.0%,161,86,136.6,5.7着,4.9人気,18.2,749,240,0,0.0%,6.4%,8.1%,70.10,11.68,61.62
7,阪神・ダ1800, 35- 33- 35-168/271,12.9%,25.1%,38.0%,76,92,76.9,5.6着,4.4人気,17.0,596,246,0,0.0%,12.2%,12.9%,115.25,12.81,56.23
8,東京・ダ1400, 34- 35- 25-187/281,12.1%,24.6%,33.5%,63,89,84.9,6.3着,5.3人気,21.4,526,269,0,0.0%,12.5%,8.9%,85.98,12.28,58.62
9,新潟・ダ1800, 29- 31- 28-134/222,13.1%,27.0%,39.6%,70,82,78.9,5.6着,4.4人気,15.7,537,208,0,0.0%,14.0%,12.6%,115.19,12.80,56.26
10,東京・芝1600, 29- 31- 18-138/216,13.4%,27.8%,36.1%,64,73,83.4,5.2着,4.7人気,20.5,478,205,0,0.0%,14.4%,8.3%,94.60,11.82,60.89
11,京都・ダ1200, 27- 27- 16-124/194,13.9%,27.8%,36.1%,94,97,88.2,6.1着,5.1人気,19.7,677,271,0,0.0%,13.9%,8.2%,73.12,12.19,59.08
12,東京・芝1400, 26- 19- 11-101/157,16.6%,28.7%,35.7%,96,77,104.4,5.8着,5.1人気,25.2,583,216,0,0.0%,12.1%,7.0%,82.13,11.73,61.36
13,東京・芝1800, 26- 17- 24-108/175,14.9%,24.6%,38.3%,140,84,88.3,5.4着,4.7人気,23.2,943,223,0,0.0%,9.7%,13.7%,107.88,11.99,60.07
14,小倉・芝1200, 24- 34- 22-137/217,11.1%,26.7%,36.9%,65,94,75.5,6.5着,5.3人気,16.5,593,262,0,0.0%,15.7%,10.1%,69.78,11.63,61.91
15,小倉・ダ1700, 24- 27- 22-123/196,12.2%,26.0%,37.2%,75,102,85.7,6.2着,5.0人気,16.7,616,274,0,0.0%,13.8%,11.2%,106.83,12.57,57.28
16,中山・芝2000, 23- 14- 15-105/157,14.6%,23.6%,33.1%,101,75,105.0,5.8着,5.1人気,26.2,690,227,0,0.0%,8.9%,9.6%,121.76,12.18,59.13
