順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,中山・ダ1800, 51- 54- 54-253/412,12.4%,25.5%,38.6%,61,76,77.3,5.6着,4.1人気,15.1,501,199,0,0.0%,13.1%,13.1%,115.78,12.86,55.97
2,中山・ダ1200, 50- 33- 44-243/370,13.5%,22.4%,34.3%,118,77,87.8,5.8着,4.5人気,16.9,873,226,0,0.0%,8.9%,11.9%,72.70,12.12,59.42
3,京都・ダ1800, 48- 46- 47-244/385,12.5%,24.4%,36.6%,63,74,72.6,5.3着,3.9人気,14.0,509,203,0,0.0%,11.9%,12.2%,114.55,12.73,56.57
4,阪神・ダ1800, 41- 29- 33-160/263,15.6%,26.6%,39.2%,93,80,84.3,5.2着,4.0人気,12.3,599,211,0,0.0%,11.0%,12.5%,115.26,12.81,56.22
5,中山・芝1600, 38- 18- 20-127/203,18.7%,27.6%,37.4%,106,79,109.7,5.4着,3.8人気,10.4,571,211,0,0.0%,8.9%,9.9%,94.73,11.84,60.81
6,東京・ダ1600, 36- 49- 46-220/351,10.3%,24.2%,37.3%,51,72,61.3,5.5着,4.1人気,14.5,502,195,0,0.0%,14.0%,13.1%,98.51,12.31,58.47
7,中京・ダ1800, 36- 21- 32-122/211,17.1%,27.0%,42.2%,104,90,103.3,5.1着,4.2人気,13.2,612,214,0,0.0%,10.0%,15.2%,115.03,12.78,56.33
8,東京・ダ1400, 34- 30- 40-177/281,12.1%,22.8%,37.0%,63,75,78.6,6.0着,4.3人気,15.0,525,204,0,0.0%,10.7%,14.2%,85.93,12.28,58.65
9,東京・芝1800, 34- 28- 25- 95/182,18.7%,34.1%,47.8%,130,106,129.6,4.7着,4.1人気,14.8,698,228,0,0.0%,15.4%,13.7%,107.66,11.96,60.19
10,東京・芝1600, 33- 39- 25-116/213,15.5%,33.8%,45.5%,93,99,91.0,4.8着,3.9人気,13.5,601,221,0,0.0%,18.3%,11.7%,94.53,11.82,60.93
11,京都・ダ1200, 29- 37- 20-109/195,14.9%,33.8%,44.1%,138,102,92.1,5.0着,4.5人気,14.1,932,233,0,0.0%,19.0%,10.3%,72.88,12.15,59.27
12,新潟・ダ1800, 26- 24- 28-134/212,12.3%,23.6%,36.8%,57,80,72.1,5.6着,3.9人気,12.1,466,218,0,0.0%,11.3%,13.2%,115.08,12.79,56.31
13,阪神・ダ1400, 25- 24- 16-112/177,14.1%,27.7%,36.7%,63,72,80.1,6.1着,4.1人気,15.5,449,197,0,0.0%,13.6%,9.0%,86.04,12.29,58.58
14,京都・ダ1400, 24- 33- 30-154/241,10.0%,23.7%,36.1%,125,90,62.7,5.6着,4.2人気,15.6,1260,250,0,0.0%,13.7%,12.4%,85.92,12.27,58.66
15,中京・芝2000, 22- 15- 20- 86/143,15.4%,25.9%,39.9%,88,74,96.9,5.2着,4.1人気,12.7,575,202,0,0.0%,10.5%,14.0%,121.88,12.19,59.07
16,東京・芝1400, 21- 19- 16-103/159,13.2%,25.2%,35.2%,70,65,83.9,5.7着,4.3人気,14.7,536,187,0,0.0%,11.9%,10.1%,82.18,11.74,61.33
17,京都・芝2000, 21- 11- 27- 91/150,14.0%,21.3%,39.3%,58,66,75.9,5.1着,3.7人気,11.4,416,175,0,0.0%,7.3%,18.0%,121.90,12.19,59.06
18,阪神・芝1600外, 20- 18- 20- 78/136,14.7%,27.9%,42.6%,109,96,83.6,5.1着,3.9人気,10.0,747,231,0,0.0%,13.2%,14.7%,94.44,11.80,60.99
19,小倉・芝1200, 20- 17- 32-157/226,8.8%,16.4%,30.5%,53,60,57.6,6.3着,4.6人気,14.6,607,204,0,0.0%,7.5%,14.2%,69.68,11.61,62.00
20,新潟・ダ1200, 20- 17- 18-118/173,11.6%,21.4%,31.8%,99,81,83.7,5.7着,4.7人気,17.9,860,257,0,0.0%,9.8%,10.4%,72.79,12.13,59.35
21,福島・芝1200, 19- 16- 21-106/162,11.7%,21.6%,34.6%,51,73,75.8,6.1着,4.7人気,16.1,443,216,0,0.0%,9.9%,13.0%,70.02,11.67,61.69
22,札幌・ダ1700, 18- 23- 13- 95/149,12.1%,27.5%,36.2%,56,75,67.6,5.2着,3.8人気,10.5,469,208,0,0.0%,15.4%,8.7%,107.29,12.62,57.04
23,京都・芝1800外, 18- 20- 19- 83/140,12.9%,27.1%,40.7%,67,75,75.5,4.9着,4.0人気,12.3,521,193,0,0.0%,14.3%,13.6%,107.89,11.99,60.06
24,中山・芝2000, 18- 20- 14- 95/147,12.2%,25.9%,35.4%,71,73,76.8,5.9着,4.0人気,11.9,581,213,0,0.0%,13.6%,9.5%,121.58,12.16,59.22
25,小倉・ダ1700, 18- 18- 22-132/190,9.5%,18.9%,30.5%,53,68,60.2,6.5着,4.1人気,11.6,562,226,0,0.0%,9.5%,11.6%,106.80,12.56,57.30
26,東京・芝2000, 18- 18- 13- 74/123,14.6%,29.3%,39.8%,71,72,84.6,4.5着,4.1人気,16.6,491,191,0,0.0%,14.6%,10.6%,120.83,12.08,59.59
27,小倉・芝1800, 17- 17- 18- 73/125,13.6%,27.2%,41.6%,58,79,68.4,5.5着,3.6人気,10.2,432,194,0,0.0%,13.6%,14.4%,109.43,12.16,59.22
28,京都・芝1600外, 17-  5- 10- 53/ 85,20.0%,25.9%,37.6%,141,77,116.6,5.7着,4.0人気,11.8,708,207,0,0.0%,5.9%,11.8%,94.22,11.78,61.13
29,福島・ダ1150, 16- 23-  5- 73/117,13.7%,33.3%,37.6%,84,81,85.0,5.6着,4.4人気,15.7,618,217,0,0.0%,19.7%,4.3%,69.46,12.08,59.60
30,阪神・芝2000, 16- 16- 10- 58/100,16.0%,32.0%,42.0%,72,67,85.1,4.5着,3.7人気,10.8,456,173,0,0.0%,16.0%,10.0%,121.21,12.12,59.40
31,福島・ダ1700, 16- 15- 22-117/170,9.4%,18.2%,31.2%,46,65,58.4,5.4着,4.2人気,12.3,498,210,0,0.0%,8.8%,12.9%,107.41,12.64,56.98
32,函館・ダ1700, 16-  9- 16- 71/112,14.3%,22.3%,36.6%,71,76,87.0,5.0着,4.0人気,10.3,504,210,0,0.0%,8.0%,14.3%,106.39,12.52,57.52
33,中京・ダ1400, 15- 22- 13- 92/142,10.6%,26.1%,35.2%,54,72,66.4,5.7着,4.5人気,13.5,513,205,0,0.0%,15.5%,9.2%,85.56,12.22,58.91
