順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,京都・ダ1800,115- 76- 47-170/408,28.2%,46.8%,58.3%,82,80,82.3,3.8着,2.1人気,4.4,293,141,0,0.0%,18.6%,11.5%,114.18,12.69,56.75
2,中山・ダ1800,112- 79- 50-204/445,25.2%,42.9%,54.2%,63,78,73.8,4.3着,2.1人気,4.6,253,145,0,0.0%,17.8%,11.2%,115.41,12.82,56.15
3,中山・ダ1200,107- 71- 42-168/388,27.6%,45.9%,56.7%,92,86,91.7,4.4着,2.4人気,5.8,336,152,0,0.0%,18.3%,10.8%,72.34,12.06,59.72
4,東京・ダ1600, 97- 68- 38-163/366,26.5%,45.1%,55.5%,70,78,80.0,4.3着,2.4人気,5.6,264,142,0,0.0%,18.6%,10.4%,98.15,12.27,58.68
5,阪神・ダ1800, 80- 62- 38-119/299,26.8%,47.5%,60.2%,83,90,80.7,3.6着,2.1人気,4.5,312,150,0,0.0%,20.7%,12.7%,114.83,12.76,56.43
6,東京・ダ1400, 78- 57- 23-138/296,26.4%,45.6%,53.4%,94,82,88.0,4.4着,2.4人気,5.5,359,154,0,0.0%,19.3%,7.8%,85.52,12.22,58.94
7,中京・ダ1800, 68- 33- 34- 91/226,30.1%,44.7%,59.7%,94,87,91.9,3.8着,2.2人気,5.1,313,147,0,0.0%,14.6%,15.0%,114.60,12.73,56.54
8,京都・ダ1400, 62- 42- 37-127/268,23.1%,38.8%,52.6%,78,81,81.5,4.3着,2.6人気,6.4,340,157,0,0.0%,15.7%,13.8%,85.66,12.24,58.84
9,新潟・ダ1800, 59- 43- 32-111/245,24.1%,41.6%,54.7%,81,82,77.9,4.1着,2.4人気,5.1,340,150,0,0.0%,17.6%,13.1%,114.60,12.73,56.55
10,東京・芝1800, 56- 42- 26- 68/192,29.2%,51.0%,64.6%,66,85,76.1,3.7着,1.9人気,4.0,228,134,0,0.0%,21.9%,13.5%,107.55,11.95,60.25
11,東京・芝1600, 55- 37- 28-104/224,24.6%,41.1%,53.6%,73,73,70.6,4.2着,2.2人気,5.5,298,139,0,0.0%,16.5%,12.5%,94.45,11.81,60.99
