中11,9,スターアニス,(栗),高野友和,高野厩舎の当該調教の勝率13.60%　連対率26.50%　複勝率34.10%　単勝回収率110.70%　複勝回収率92.90%　86-82-48-417/633(2023/8/1～2026/8/1)
阪3,2,ブックオブケルズ,(栗),高野友和,高野厩舎の当該調教の勝率13.60%　連対率26.50%　複勝率34.10%　単勝回収率110.70%　複勝回収率92.90%　86-82-48-417/633(2023/8/1～2026/8/1)
中6,8,ホウオウライセンス,(美),稲垣幸雄,"前走(12週以内)坂路11秒台加速ラップで連対した馬の勝率25.20%　連対率37.20%　複勝率 44.00% 単勝回収率108.80%　複勝回収率77.90%　75-36-20-167/298(2023/8/1～2026/8/4)"
中9,3,シルバーウィル,(栗),松永幹夫,"中山芝1600狙い目。坂路全体54秒以下で加速ラップ4角順位(前走)1?5位の成績　勝率20.00% 連対率 25.70% 複勝率 41.40% 単勝回収率　123.70%　複勝回収率 105.00%着別度数14 -4-11-41/70（2023/9/1～2026/9/4）"
