順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,東京・ダ1600, 50- 36- 34-209/329,15.2%,26.1%,36.5%,91,81,102.5,6.1着,4.7人気,22.7,599,224,0,0.0%,10.9%,10.3%,98.69,12.34,58.37
2,京都・ダ1800, 45- 46- 39-243/373,12.1%,24.4%,34.9%,68,71,74.9,5.8着,4.4人気,18.6,568,207,0,0.0%,12.3%,10.5%,114.77,12.75,56.46
3,中山・ダ1800, 44- 42- 51-284/421,10.5%,20.4%,32.5%,55,73,71.7,6.5着,4.7人気,18.8,532,226,0,0.0%,10.0%,12.1%,116.14,12.90,55.79
4,阪神・ダ1800, 41- 26- 41-183/291,14.1%,23.0%,37.1%,82,82,87.7,5.6着,4.4人気,15.9,586,226,0,0.0%,8.9%,14.1%,115.43,12.83,56.14
5,中山・ダ1200, 37- 37- 38-252/364,10.2%,20.3%,30.8%,62,89,67.4,6.5着,4.6人気,17.2,616,291,0,0.0%,10.2%,10.4%,72.85,12.14,59.30
6,京都・ダ1400, 34- 40- 26-143/243,14.0%,30.5%,41.2%,59,89,87.2,5.9着,4.8人気,20.3,422,217,0,0.0%,16.5%,10.7%,85.99,12.28,58.61
7,東京・ダ1400, 33- 37- 25-184/279,11.8%,25.1%,34.1%,63,78,79.8,6.4着,5.0人気,24.8,535,230,0,0.0%,13.3%,9.0%,86.00,12.29,58.61
8,東京・芝1600, 32- 25- 20-131/208,15.4%,27.4%,37.0%,117,90,94.5,5.5着,4.8人気,25.3,761,248,0,0.0%,12.0%,9.6%,94.65,11.83,60.85
9,阪神・ダ1400, 27- 19- 12-121/179,15.1%,25.7%,32.4%,76,62,98.3,6.6着,5.0人気,24.4,510,194,0,0.0%,10.6%,6.7%,86.12,12.30,58.52
10,福島・芝1200, 27- 13- 14-107/161,16.8%,24.8%,33.5%,99,69,109.3,6.4着,5.1人気,20.8,592,208,0,0.0%,8.1%,8.7%,70.20,11.70,61.54
11,小倉・芝1200, 25- 28- 16-157/226,11.1%,23.5%,30.5%,75,68,73.3,7.0着,4.8人気,17.9,684,225,0,0.0%,12.4%,7.1%,69.79,11.63,61.90
12,新潟・ダ1800, 25- 24- 17-148/214,11.7%,22.9%,30.8%,62,67,71.9,6.1着,4.3人気,14.1,539,217,0,0.0%,11.2%,7.9%,115.34,12.82,56.18
13,中山・芝1600, 24- 17- 17-132/190,12.6%,21.6%,30.5%,66,61,86.8,6.1着,4.9人気,22.4,522,200,0,0.0%,8.9%,8.9%,94.88,11.86,60.71
14,中京・芝1600, 24- 10-  8- 73/115,20.9%,29.6%,36.5%,157,80,128.2,6.0着,4.8人気,21.5,755,222,0,0.0%,8.7%,7.0%,95.23,11.90,60.48
15,福島・ダ1700, 23- 17- 12-116/168,13.7%,23.8%,31.0%,129,85,97.2,6.7着,5.0人気,19.1,943,275,0,0.0%,10.1%,7.1%,107.72,12.67,56.81
16,東京・芝2000, 23- 14-  8- 78/123,18.7%,30.1%,36.6%,77,59,107.5,5.3着,4.3人気,26.2,413,162,0,0.0%,11.4%,6.5%,120.99,12.10,59.51
17,東京・芝1800, 22- 32- 28-106/188,11.7%,28.7%,43.6%,51,104,73.5,5.2着,4.5人気,22.2,442,246,0,0.0%,17.0%,14.9%,107.89,11.99,60.06
18,京都・ダ1200, 20- 19- 11-134/184,10.9%,21.2%,27.2%,76,58,79.2,7.4着,5.1人気,20.2,705,214,0,0.0%,10.3%,6.0%,73.35,12.23,58.90
19,中京・芝2000, 20- 14- 22- 84/140,14.3%,24.3%,40.0%,57,66,87.4,5.5着,4.7人気,18.8,402,183,0,0.0%,10.0%,15.7%,121.95,12.19,59.04
20,阪神・ダ1200, 19- 14- 13- 83/129,14.7%,25.6%,35.7%,123,81,113.5,6.5着,5.2人気,23.2,841,234,0,0.0%,10.9%,10.1%,73.34,12.22,58.91
21,中山・芝2000, 19- 13- 16-117/165,11.5%,19.4%,29.1%,74,67,81.9,6.9着,5.0人気,20.6,646,238,0,0.0%,7.9%,9.7%,121.65,12.16,59.19
22,中京・ダ1800, 18- 24- 25-139/206,8.7%,20.4%,32.5%,61,67,57.0,6.3着,4.7人気,20.0,703,212,0,0.0%,11.7%,12.1%,115.19,12.80,56.26
23,京都・芝1800外, 18- 22- 14- 86/140,12.9%,28.6%,38.6%,57,74,76.3,5.3着,4.5人気,22.7,447,201,0,0.0%,15.7%,10.0%,108.01,12.00,59.99
24,阪神・芝2000, 18- 14-  7- 63/102,17.6%,31.4%,38.2%,87,74,102.5,5.2着,4.5人気,19.9,495,200,0,0.0%,13.7%,6.9%,121.52,12.15,59.25
25,新潟・ダ1200, 17- 20- 15-127/179,9.5%,20.7%,29.1%,44,69,70.2,6.9着,5.1人気,20.4,467,240,0,0.0%,11.2%,8.4%,73.14,12.19,59.07
26,小倉・芝2000, 17- 13-  9- 81/120,14.2%,25.0%,32.5%,88,63,86.0,6.3着,4.7人気,17.2,622,195,0,0.0%,10.8%,7.5%,122.39,12.24,58.83
27,東京・芝2400, 16-  7-  6- 64/ 93,17.2%,24.7%,31.2%,71,64,111.1,5.8着,4.8人気,24.3,418,208,0,0.0%,7.5%,6.5%,146.52,12.21,58.97
28,小倉・ダ1700, 15- 20- 21-130/186,8.1%,18.8%,30.1%,61,91,63.6,6.7着,4.9人気,18.0,760,303,0,0.0%,10.8%,11.3%,106.83,12.57,57.29
29,中山・芝1800, 15- 20-  4- 61/100,15.0%,35.0%,39.0%,115,94,101.9,5.1着,4.9人気,21.3,767,243,0,0.0%,20.0%,4.0%,109.14,12.13,59.37
30,函館・芝1200, 15- 19- 20- 80/134,11.2%,25.4%,40.3%,100,104,73.2,5.4着,4.5人気,15.3,900,279,0,0.0%,14.2%,14.9%,69.61,11.60,62.06
31,小倉・芝1800, 15- 14-  9- 83/121,12.4%,24.0%,31.4%,65,61,85.2,6.5着,4.8人気,18.7,528,201,0,0.0%,11.6%,7.4%,110.08,12.23,58.87
32,東京・芝1400, 14- 23- 20-116/173,8.1%,21.4%,32.9%,45,70,57.3,6.2着,4.9人気,22.6,561,218,0,0.0%,13.3%,11.6%,82.18,11.74,61.33
33,札幌・ダ1700, 14- 19- 18- 96/147,9.5%,22.4%,34.7%,57,77,60.1,5.8着,4.4人気,12.8,606,225,0,0.0%,12.9%,12.2%,107.51,12.65,56.93
34,福島・芝1800, 14-  9-  8- 68/ 99,14.1%,23.2%,31.3%,58,55,89.5,6.4着,4.6人気,14.6,413,191,0,0.0%,9.1%,8.1%,109.43,12.16,59.21
35,札幌・芝1200, 14-  5-  5- 54/ 78,17.9%,24.4%,30.8%,108,69,130.2,6.6着,4.9人気,14.8,604,225,0,0.0%,6.4%,6.4%,70.09,11.68,61.64
36,京都・芝2000, 13- 27- 13-110/163,8.0%,24.5%,32.5%,48,68,53.2,5.8着,4.8人気,23.0,609,214,0,0.0%,16.6%,8.0%,121.95,12.20,59.04
37,京都・ダ1900, 13- 20-  8- 53/ 94,13.8%,35.1%,43.6%,62,84,76.9,5.0着,3.7人気,11.1,451,194,0,0.0%,21.3%,8.5%,120.89,12.73,56.58
38,京都・芝1600, 13- 10-  7- 79/109,11.9%,21.1%,27.5%,52,57,83.2,6.2着,4.9人気,23.6,438,211,0,0.0%,9.2%,6.4%,95.69,11.96,60.19
39,東京・ダ1300, 13- 10-  5- 46/ 74,17.6%,31.1%,37.8%,124,75,125.9,6.1着,4.9人気,18.9,708,199,0,0.0%,13.5%,6.8%,79.71,12.26,58.71
40,東京・ダ2100, 12- 20- 10- 82/124,9.7%,25.8%,33.9%,40,62,54.0,6.4着,4.7人気,20.1,418,184,0,0.0%,16.1%,8.1%,133.35,12.70,56.69
41,中京・ダ1400, 12- 14- 14-107/147,8.2%,17.7%,27.2%,45,56,63.6,7.3着,5.7人気,25.3,555,208,0,0.0%,9.5%,9.5%,85.92,12.27,58.66
42,阪神・芝1600外, 11- 17- 13- 88/129,8.5%,21.7%,31.8%,77,66,57.1,6.3着,4.9人気,25.4,915,210,0,0.0%,13.2%,10.1%,94.55,11.82,60.92
43,函館・ダ1700, 11- 11-  8- 70/100,11.0%,22.0%,30.0%,42,58,78.1,6.1着,4.8人気,17.6,388,196,0,0.0%,11.0%,8.0%,106.75,12.56,57.33
44,小倉・障2860芝, 10- 13-  7- 36/ 66,15.2%,34.8%,45.5%,75,99,80.2,4.8着,3.6人気,10.3,501,220,0,0.0%,19.7%,10.6%,194.73,13.62,52.87
45,中京・ダ1200, 10-  7- 12- 63/ 92,10.9%,18.5%,31.5%,63,94,79.6,6.7着,5.0人気,21.7,588,299,0,0.0%,7.6%,13.0%,73.24,12.21,58.98
46,新潟・芝1800外,  9- 17- 12- 66/104,8.7%,25.0%,36.5%,28,70,52.6,6.3着,4.4人気,16.5,328,192,0,0.0%,16.3%,11.5%,108.68,12.08,59.63
47,札幌・ダ1000,  9-  5-  6- 31/ 51,17.6%,27.5%,39.2%,81,93,113.2,5.0着,4.6人気,14.6,463,252,0,0.0%,9.8%,11.8%,59.87,11.97,60.13
48,中山・芝2200,  9-  4-  4- 37/ 54,16.7%,24.1%,31.5%,118,73,112.3,6.4着,5.5人気,28.9,712,233,0,0.0%,7.4%,7.4%,134.57,12.23,58.85
49,小倉・ダ1000,  8- 14-  7- 59/ 88,9.1%,25.0%,33.0%,44,75,54.1,6.1着,4.1人気,10.7,490,228,0,0.0%,15.9%,8.0%,59.31,11.86,60.70
50,中京・ダ1900,  8- 12-  4- 29/ 53,15.1%,37.7%,45.3%,165,171,120.3,5.2着,5.4人気,23.3,1099,379,0,0.0%,22.6%,7.5%,121.44,12.78,56.32
51,福島・ダ1150,  8- 11- 11- 78/108,7.4%,17.6%,27.8%,109,85,50.9,6.2着,4.7人気,14.9,1480,306,0,0.0%,10.2%,10.2%,69.63,12.11,59.46
52,京都・芝2200外,  8- 11-  7- 21/ 47,17.0%,40.4%,55.3%,209,160,100.9,4.4着,4.8人気,20.3,1230,289,0,0.0%,23.4%,14.9%,134.25,12.20,58.99
53,京都・芝1600外,  8- 10- 10- 60/ 88,9.1%,20.5%,31.8%,47,100,68.4,6.5着,5.6人気,23.4,518,329,0,0.0%,11.4%,11.4%,94.28,11.79,61.09
54,中京・芝1400,  8-  9- 10- 67/ 94,8.5%,18.1%,28.7%,50,92,68.9,6.8着,5.3人気,20.2,596,334,0,0.0%,9.6%,10.6%,82.12,11.73,61.37
55,阪神・芝1400,  8-  9-  9- 50/ 76,10.5%,22.4%,34.2%,58,86,78.1,6.9着,5.3人気,21.2,552,263,0,0.0%,11.8%,11.8%,81.66,11.67,61.72
56,新潟・芝1000,  8-  9-  8- 42/ 67,11.9%,25.4%,37.3%,68,101,94.9,7.0着,5.6人気,16.9,574,271,0,0.0%,13.4%,11.9%,56.19,11.24,64.07
57,札幌・芝2000,  8-  8- 10- 39/ 65,12.3%,24.6%,40.0%,62,87,75.7,5.8着,4.6人気,15.9,508,220,0,0.0%,12.3%,15.4%,122.87,12.29,58.60
58,中京・芝2200,  8-  8-  5- 27/ 48,16.7%,33.3%,43.8%,145,104,109.6,4.5着,4.9人気,20.7,871,239,0,0.0%,16.7%,10.4%,134.13,12.19,59.05
59,札幌・芝1800,  8-  7- 13- 36/ 64,12.5%,23.4%,43.8%,43,79,62.0,5.1着,3.7人気,14.0,349,212,0,0.0%,10.9%,20.3%,110.41,12.27,58.69
60,札幌・芝1500,  8-  6- 12- 44/ 70,11.4%,20.0%,37.1%,58,73,73.0,5.3着,4.2人気,12.4,510,204,0,0.0%,8.6%,17.1%,90.43,12.06,59.71
61,函館・ダ1000,  7- 13-  5- 33/ 58,12.1%,34.5%,43.1%,77,79,65.4,4.7着,3.7人気,10.3,644,184,0,0.0%,22.4%,8.6%,59.64,11.93,60.36
62,中京・芝1200,  7-  7-  4- 37/ 55,12.7%,25.5%,32.7%,73,68,90.7,6.0着,4.9人気,14.8,574,221,0,0.0%,12.7%,7.3%,69.27,11.55,62.36
63,京都・芝2400外,  7-  6-  8- 32/ 53,13.2%,24.5%,39.6%,261,114,86.9,5.4着,4.5人気,13.3,1977,289,0,0.0%,11.3%,15.1%,146.45,12.20,58.99
64,新潟・障2890芝,  7-  5-  1- 17/ 30,23.3%,40.0%,43.3%,114,70,123.9,4.4着,4.0人気,14.0,490,163,0,0.0%,16.7%,3.3%,193.04,13.36,53.90
65,阪神・芝1800外,  6- 15- 11- 56/ 88,6.8%,23.9%,36.4%,75,83,45.6,5.6着,5.2人気,32.9,1108,229,0,0.0%,17.0%,12.5%,107.19,11.91,60.45
66,新潟・芝1400,  6-  8-  7- 54/ 75,8.0%,18.7%,28.0%,45,65,61.6,6.5着,5.3人気,23.9,565,233,0,0.0%,10.7%,9.3%,82.65,11.81,60.98
67,京都・芝1400外,  6-  5- 10- 65/ 86,7.0%,12.8%,24.4%,57,60,62.3,6.8着,5.7人気,20.0,822,261,0,0.0%,5.8%,11.6%,81.76,11.68,61.65
68,函館・芝2600,  6-  2-  4-  5/ 17,35.3%,47.1%,70.6%,166,230,228.6,3.4着,4.6人気,14.0,472,326,0,0.0%,11.8%,23.5%,161.61,12.43,57.92
69,中山・芝2500,  6-  2-  3- 23/ 34,17.6%,23.5%,32.4%,96,94,117.6,5.9着,6.4人気,36.8,548,293,0,0.0%,5.9%,8.8%,154.03,12.32,58.43
70,福島・芝2000,  5-  7-  4- 69/ 85,5.9%,14.1%,18.8%,33,33,48.7,6.9着,5.3人気,19.4,574,179,0,0.0%,8.2%,4.7%,122.00,12.20,59.02
71,京都・芝1200,  5-  6-  8- 51/ 70,7.1%,15.7%,27.1%,65,85,56.5,6.7着,5.2人気,15.9,920,314,0,0.0%,8.6%,11.4%,69.23,11.54,62.40
72,阪神・芝2400外,  5-  6-  7- 27/ 45,11.1%,24.4%,40.0%,40,71,56.7,4.6着,4.1人気,16.8,368,189,0,0.0%,13.3%,15.6%,147.40,12.28,58.62
73,新潟・芝2000,  5-  4-  4- 21/ 34,14.7%,26.5%,38.2%,60,57,86.1,6.2着,4.9人気,20.6,410,163,0,0.0%,11.8%,11.8%,123.34,12.33,58.37
74,小倉・芝2600,  5-  4-  4- 21/ 34,14.7%,26.5%,38.2%,82,73,94.4,6.0着,4.9人気,18.5,562,193,0,0.0%,11.8%,11.8%,162.08,12.47,57.75
75,中山・芝1200,  4- 17- 14- 59/ 94,4.3%,22.3%,37.2%,33,93,28.7,6.1着,5.1人気,15.2,798,251,0,0.0%,18.1%,14.9%,68.86,11.48,62.73
76,新潟・芝1600外,  4- 12- 11- 51/ 78,5.1%,20.5%,34.6%,30,99,48.3,6.2着,5.3人気,23.9,590,311,0,0.0%,15.4%,14.1%,95.53,11.94,60.30
77,阪神・芝1200,  4-  6-  6- 42/ 58,6.9%,17.2%,27.6%,28,70,56.1,6.1着,5.0人気,15.2,415,256,0,0.0%,10.3%,10.3%,69.27,11.55,62.36
78,阪神・ダ2000,  4-  6-  2- 28/ 40,10.0%,25.0%,30.0%,215,100,66.5,6.4着,4.9人気,21.5,2155,334,0,0.0%,15.0%,5.0%,127.94,12.79,56.28
