順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
87,新潟・芝2200,  3-  3-  2- 21/ 29,10.30%,20.70%,27.60%,111,86,80.9,6.6着,5.8人気,21.2,1077,315,0,0.00%,10.30%,6.90%,134.86,12.26,58.73
88,函館・芝2600,  3-  2-  2- 12/ 19,15.80%,26.30%,36.80%,46,87,88.6,4.8着,4.4人気,14.5,293,237,0,0.00%,10.50%,10.50%,161.88,12.45,57.82
89,中山・障2880ダ,  3-  0-  2- 34/ 39,7.70%,7.70%,12.80%,20,34,90.8,8.3着,7.4人気,57,263,272,0,0.00%,0.00%,5.10%,202.21,14.04,51.27
90,阪神・芝2200,  2-  3-  2- 20/ 27,7.40%,18.50%,25.90%,13,51,44.8,5.9着,4.1人気,11.4,185,197,0,0.00%,11.10%,7.40%,133.49,12.14,59.33
91,新潟・障2890芝,  2-  0-  2- 27/ 31,6.50%,6.50%,12.90%,21,22,78.3,8.4着,6.9人気,40.3,330,172,0,0.00%,0.00%,6.50%,195.08,13.5,53.33
92,京都・障3170芝,  2-  0-  0-  2/  4,50.00%,50.00%,50.00%,607,140,384.6,3.0着,4.3人気,14.7,1215,280,0,0.00%,0.00%,0.00%,217.98,13.75,52.35
93,函館・ダ2400,  1-  2-  1-  5/  9,11.10%,33.30%,44.40%,33,86,58.5,4.1着,3.4人気,7.3,300,195,0,0.00%,22.20%,11.10%,155.83,12.99,55.44
94,小倉・障3390芝,  1-  1-  2- 10/ 14,7.10%,14.30%,28.60%,15,47,57.9,6.0着,5.7人気,26.4,220,165,0,0.00%,7.10%,14.30%,229.81,13.56,53.1
95,小倉・ダ2400,  1-  1-  2-  2/  6,16.70%,33.30%,66.70%,38,141,121.3,4.0着,5.7人気,17.9,230,283,0,0.00%,16.70%,33.30%,154.75,12.9,55.83
96,阪神・芝3000,  1-  1-  2-  3/  7,14.30%,28.60%,57.10%,81,130,135.4,5.0着,4.7人気,10.3,570,228,0,0.00%,14.30%,28.60%,185.9,12.39,58.1
97,中山・障3200ダ,  1-  1-  1-  3/  6,16.70%,33.30%,50.00%,193,116,121.9,4.3着,5.3人気,16.8,1160,233,0,0.00%,16.70%,16.70%,218.1,13.63,52.82
98,東京・芝2500,  1-  1-  1-  5/  8,12.50%,25.00%,37.50%,43,38,82,7.4着,5.6人気,35.1,350,155,0,0.00%,12.50%,12.50%,151.99,12.16,59.22
99,札幌・ダ2400,  1-  1-  0-  4/  6,16.70%,33.30%,33.30%,26,43,57.9,6.8着,3.2人気,7.9,160,130,0,0.00%,16.70%,0.00%,159.15,13.26,54.29
100,福島・障2750芝,  1-  0-  1- 24/ 26,3.80%,3.80%,7.70%,6,12,57,8.0着,7.5人気,49.1,160,165,0,0.00%,0.00%,3.80%,186.73,13.58,53.02
101,中山・障3350芝,  1-  0-  0-  2/  3,33.30%,33.30%,33.30%,263,86,259.9,3.0着,4.3人気,13.4,790,260,0,0.00%,0.00%,0.00%,224.03,13.38,53.83
102,東京・障3000ダ,  1-  0-  0- 14/ 15,6.70%,6.70%,6.70%,22,9,81.3,8.4着,6.3人気,35.2,340,140,0,0.00%,0.00%,0.00%,210.22,14.01,51.37
103,中山・芝3600,  1-  0-  0-  2/  3,33.30%,33.30%,33.30%,146,53,114.9,3.3着,1.3人気,3.6,440,160,0,0.00%,0.00%,0.00%,226.83,12.6,57.13
104,中京・障3330芝,  1-  0-  0-  2/  3,33.30%,33.30%,33.30%,146,50,214.9,3.3着,3.3人気,7.2,440,150,0,0.00%,0.00%,0.00%,220.97,13.27,54.25
105,中山・障3210芝,  1-  0-  0-  3/  4,25.00%,25.00%,25.00%,40,27,145.8,7.0着,8.5人気,37.8,160,110,0,0.00%,0.00%,0.00%,223.18,13.9,51.78
106,京都・障3170ダ,  1-  0-  0- 12/ 13,7.70%,7.70%,7.70%,16,8,58.7,7.5着,6.0人気,25,210,110,0,0.00%,0.00%,0.00%,219.67,13.86,51.95
107,中山・ダ2500,  1-  0-  0-  2/  3,33.30%,33.30%,33.30%,80,46,169.7,5.7着,4.3人気,9,240,140,0,0.00%,0.00%,0.00%,164.9,13.19,54.58
108,中山・障4250芝,  1-  0-  0-  0/  1,100.00%,100.00%,100.00%,1220,720,1220,1.0着,2.0人気,12.2,1220,720,0,0.00%,0.00%,0.00%,287.2,13.52,53.27
109,中京・芝3000,  1-  0-  0-  0/  1,100.00%,100.00%,100.00%,340,160,340,1.0着,1.0人気,3.4,340,160,0,0.00%,0.00%,0.00%,190.2,12.68,56.78
110,新潟・障3250芝,  0-  2-  1-  5/  8,0.00%,25.00%,37.50%,0,183,0,5.3着,6.0人気,33.1,,490,0,0.00%,25.00%,12.50%,214.86,13.22,54.45
111,中京・障3300芝,  0-  2-  1-  2/  5,0.00%,40.00%,60.00%,0,148,0,3.4着,4.4人気,11.9,,247,0,0.00%,40.00%,20.00%,217.6,13.19,54.6
112,東京・障3110芝,  0-  2-  0-  7/  9,0.00%,22.20%,22.20%,0,46,0,6.8着,6.4人気,38.3,,210,0,0.00%,22.20%,0.00%,209.21,13.45,53.52
113,阪神・障3900芝,  0-  2-  0-  1/  3,0.00%,66.70%,66.70%,0,76,0,4.0着,2.0人気,6.5,,115,0,0.00%,66.70%,0.00%,269.83,13.84,52.03
114,阪神・障2970ダ,  0-  1-  1- 19/ 21,0.00%,4.80%,9.50%,0,43,0,7.4着,6.8人気,50.5,,460,0,0.00%,4.80%,4.80%,208.83,14.06,51.2
115,新潟・障2850芝,  0-  1-  1- 31/ 33,0.00%,3.00%,6.10%,0,38,0,7.6着,7.0人気,51.7,,630,0,0.00%,3.00%,3.00%,190.91,13.4,53.74
116,福島・障3380芝,  0-  1-  1-  6/  8,0.00%,12.50%,25.00%,0,77,0,7.1着,5.5人気,16.6,,310,0,0.00%,12.50%,12.50%,229.24,13.56,53.08
117,中京・障3000芝,  0-  1-  0- 14/ 15,0.00%,6.70%,6.70%,0,162,0,8.3着,6.4人気,33.5,,2430,0,0.00%,6.70%,0.00%,205.91,13.73,52.45
118,福島・ダ2400,  0-  1-  0-  4/  5,0.00%,20.00%,20.00%,0,88,0,7.6着,7.0人気,20.5,,440,0,0.00%,20.00%,0.00%,156.44,13.04,55.23
119,東京・芝2300,  0-  1-  0-  1/  2,0.00%,50.00%,50.00%,0,80,0,5.0着,3.5人気,6.1,,160,0,0.00%,50.00%,0.00%,141,12.26,58.72
120,福島・障2770芝,  0-  0-  2- 10/ 12,0.00%,0.00%,16.70%,0,75,0,8.5着,7.8人気,43.6,,455,0,0.00%,0.00%,16.70%,188.25,13.59,52.97
121,京都・芝3000外,  0-  0-  2-  6/  8,0.00%,0.00%,25.00%,0,36,0,6.0着,3.6人気,18.1,,145,0,0.00%,0.00%,25.00%,186.13,12.41,58.03
122,京都・障2910ダ,  0-  0-  1- 17/ 18,0.00%,0.00%,5.60%,0,10,0,8.3着,6.2人気,39.3,,190,0,0.00%,0.00%,5.60%,204.86,14.08,51.14
123,阪神・障3110ダ,  0-  0-  1-  4/  5,0.00%,0.00%,20.00%,0,70,0,5.0着,3.8人気,8.8,,350,0,0.00%,0.00%,20.00%,211.2,13.58,53.01
124,阪神・障3140芝,  0-  0-  1-  4/  5,0.00%,0.00%,20.00%,0,48,0,5.2着,7.2人気,46.4,,240,0,0.00%,0.00%,20.00%,212.98,13.57,53.08
125,函館・芝1000,  0-  0-  1-  2/  3,0.00%,0.00%,33.30%,0,40,0,5.0着,3.3人気,5.4,,120,0,0.00%,0.00%,33.30%,58.03,11.61,62.03
126,新潟・障3290芝,  0-  0-  1-  2/  3,0.00%,0.00%,33.30%,0,60,0,8.0着,7.0人気,51.5,,180,0,0.00%,0.00%,33.30%,222.2,13.51,53.3
127,東京・芝3400,  0-  0-  0-  4/  4,0.00%,0.00%,0.00%,0,0,0,6.3着,5.3人気,18.7,,,0,0.00%,0.00%,0.00%,213.23,12.54,57.4
128,中山・障4100芝,  0-  0-  0-  3/  3,0.00%,0.00%,0.00%,0,0,0,6.7着,5.0人気,39.3,,,0,0.00%,0.00%,0.00%,285.8,13.94,51.64
129,京都・障3930芝,  0-  0-  0-  3/  3,0.00%,0.00%,0.00%,0,0,0,7.7着,2.7人気,5,,,0,0.00%,0.00%,0.00%,282.2,14.36,50.13
130,京都・芝3200外,  0-  0-  0-  3/  3,0.00%,0.00%,0.00%,0,0,0,5.3着,5.7人気,25.7,,,0,0.00%,0.00%,0.00%,194.63,12.16,59.19
131,東京・障3100ダ,  0-  0-  0-  1/  1,0.00%,0.00%,0.00%,0,0,0,4.0着,10.0人気,104,,,0,0.00%,0.00%,0.00%,212.4,13.7,52.54
132,中山・障3570芝,  0-  0-  0-  3/  3,0.00%,0.00%,0.00%,0,0,0,8.3着,7.7人気,24.9,,,0,0.00%,0.00%,0.00%,242.5,13.59,53
133,新潟・ダ2500,  0-  0-  0-  3/  3,0.00%,0.00%,0.00%,0,0,0,8.0着,6.0人気,12.7,,,0,0.00%,0.00%,0.00%,164.7,13.18,54.64
134,中山・障4260芝,  0-  0-  0-  2/  2,0.00%,0.00%,0.00%,0,0,0,8.0着,6.5人気,67.7,,,0,0.00%,0.00%,0.00%,298.8,14.03,51.33
