順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,中山・ダ1200, 58- 43- 35-256/392,14.8%,25.8%,34.7%,113,90,111.9,6.2着,5.5人気,25.7,768,261,0,0.0%,11.0%,8.9%,72.72,12.12,59.41
2,阪神・ダ1800, 48- 32- 24-168/272,17.6%,29.4%,38.2%,94,83,106.1,5.2着,4.7人気,23.0,536,220,0,0.0%,11.8%,8.8%,115.20,12.80,56.25
3,中山・ダ1800, 46- 50- 38-289/423,10.9%,22.7%,31.7%,91,81,80.4,6.5着,5.7人気,33.2,840,261,0,0.0%,11.8%,9.0%,116.22,12.91,55.76
4,京都・ダ1800, 42- 41- 46-245/374,11.2%,22.2%,34.5%,49,82,77.2,5.9着,5.1人気,26.1,440,240,0,0.0%,11.0%,12.3%,114.73,12.75,56.48
5,東京・ダ1600, 39- 43- 41-224/347,11.2%,23.6%,35.4%,59,91,74.7,6.3着,5.4人気,29.5,527,258,0,0.0%,12.4%,11.8%,98.68,12.33,58.37
6,京都・ダ1400, 39- 24- 20-165/248,15.7%,25.4%,33.5%,75,68,103.6,6.1着,5.1人気,27.4,482,204,0,0.0%,9.7%,8.1%,86.04,12.29,58.58
7,東京・芝1800, 30- 19- 14-114/177,16.9%,27.7%,35.6%,102,88,108.1,5.6着,5.0人気,26.3,606,254,0,0.0%,10.7%,7.9%,107.79,11.98,60.11
8,中山・芝1600, 28- 21- 22-124/195,14.4%,25.1%,36.4%,86,92,94.8,6.1着,5.4人気,29.9,599,254,0,0.0%,10.8%,11.3%,94.96,11.87,60.65
9,小倉・芝1200, 27- 27- 20-146/220,12.3%,24.5%,33.6%,64,81,89.6,6.5着,5.5人気,19.1,528,246,0,0.0%,12.3%,9.1%,69.75,11.62,61.94
10,小倉・ダ1700, 26- 25- 24-130/205,12.7%,24.9%,36.6%,81,93,88.8,5.9着,5.1人気,18.9,645,257,0,0.0%,12.2%,11.7%,106.73,12.56,57.34
11,新潟・ダ1800, 25- 24- 19-151/219,11.4%,22.4%,31.1%,83,70,76.1,6.1着,5.1人気,19.4,735,228,0,0.0%,11.0%,8.7%,115.20,12.80,56.25
12,新潟・ダ1200, 25- 20- 16-120/181,13.8%,24.9%,33.7%,107,81,102.7,6.3着,5.3人気,20.3,779,242,0,0.0%,11.0%,8.8%,72.92,12.15,59.24
13,札幌・ダ1700, 24- 20- 10-100/154,15.6%,28.6%,35.1%,83,73,99.7,5.9着,4.7人気,17.2,533,211,0,0.0%,13.0%,6.5%,107.52,12.65,56.92
14,中京・ダ1800, 23- 24- 25-136/208,11.1%,22.6%,34.6%,57,90,73.5,5.9着,5.0人気,24.4,520,265,0,0.0%,11.5%,12.0%,115.25,12.81,56.23
15,東京・ダ1400, 23- 22- 27-200/272,8.5%,16.5%,26.5%,72,84,73.0,7.3着,6.3人気,36.4,857,318,0,0.0%,8.1%,9.9%,86.19,12.31,58.47
16,阪神・ダ1400, 22- 16- 12-117/167,13.2%,22.8%,29.9%,61,69,91.8,6.5着,5.1人気,23.6,466,231,0,0.0%,9.6%,7.2%,86.16,12.31,58.50
17,東京・芝2000, 21- 17- 10- 78/126,16.7%,30.2%,38.1%,199,85,121.5,5.7着,5.2人気,35.2,1200,225,0,0.0%,13.5%,7.9%,121.07,12.11,59.47
18,東京・芝1400, 19- 13- 16-109/157,12.1%,20.4%,30.6%,70,75,94.9,6.6着,5.6人気,36.3,585,248,0,0.0%,8.3%,10.2%,82.30,11.76,61.24
19,函館・芝1200, 19- 11- 12- 89/131,14.5%,22.9%,32.1%,138,84,97.9,5.7着,4.8人気,15.8,954,263,0,0.0%,8.4%,9.2%,69.62,11.60,62.05
20,中京・芝1600, 19- 11- 11- 71/112,17.0%,26.8%,36.6%,159,98,103.9,5.7着,5.0人気,22.1,938,269,0,0.0%,9.8%,9.8%,95.06,11.88,60.59
21,京都・芝2000, 18- 22- 21- 89/150,12.0%,26.7%,40.7%,51,73,69.8,5.1着,4.6人気,23.2,425,198,0,0.0%,14.7%,14.0%,121.79,12.18,59.12
22,京都・ダ1200, 18- 22- 12-140/192,9.4%,20.8%,27.1%,66,66,72.9,6.4着,5.8人気,28.7,706,244,0,0.0%,11.5%,6.3%,73.20,12.20,59.02
23,福島・芝1200, 18- 20- 15-114/167,10.8%,22.8%,31.7%,54,74,79.1,6.5着,5.5人気,23.2,504,243,0,0.0%,12.0%,9.0%,70.19,11.70,61.54
24,中京・ダ1400, 18- 16- 17- 98/149,12.1%,22.8%,34.2%,79,84,77.9,6.1着,5.3人気,25.7,660,246,0,0.0%,10.7%,11.4%,85.68,12.24,58.83
25,福島・ダ1700, 18- 14- 17-114/163,11.0%,19.6%,30.1%,68,71,87.8,6.4着,5.7人気,22.2,623,237,0,0.0%,8.6%,10.4%,107.62,12.66,56.87
26,東京・ダ2100, 18- 13-  6- 81/118,15.3%,26.3%,31.4%,93,70,106.2,6.4着,5.6人気,28.4,616,224,0,0.0%,11.0%,5.1%,133.46,12.71,56.65
27,中山・芝2000, 17- 21- 21- 97/156,10.9%,24.4%,37.8%,90,100,74.8,6.0着,5.5人気,26.2,833,264,0,0.0%,13.5%,13.5%,121.76,12.18,59.13
28,京都・芝1800外, 16- 21- 19- 76/132,12.1%,28.0%,42.4%,97,84,77.5,5.3着,4.9人気,24.1,802,209,0,0.0%,15.9%,14.4%,107.94,11.99,60.03
29,小倉・芝1800, 16- 17- 15- 75/123,13.0%,26.8%,39.0%,75,102,84.7,5.5着,4.6人気,20.1,579,274,0,0.0%,13.8%,12.2%,109.57,12.17,59.14
30,函館・ダ1700, 16- 15- 15- 63/109,14.7%,28.4%,42.2%,94,94,88.1,4.9着,4.4人気,15.3,646,223,0,0.0%,13.8%,13.8%,106.43,12.52,57.50
31,阪神・芝1600外, 16- 11- 10- 89/126,12.7%,21.4%,29.4%,62,79,92.9,5.9着,5.5人気,27.9,494,279,0,0.0%,8.7%,7.9%,94.54,11.82,60.93
32,小倉・芝2000, 16-  8- 13- 91/128,12.5%,18.8%,28.9%,142,82,89.3,6.5着,5.3人気,24.6,1143,285,0,0.0%,6.3%,10.2%,122.60,12.26,58.73
33,阪神・ダ1200, 16-  8-  7- 98/129,12.4%,18.6%,24.0%,75,52,98.2,6.9着,6.0人気,39.5,608,216,0,0.0%,6.2%,5.4%,73.45,12.24,58.81
34,新潟・芝1800外, 15- 17- 17- 53/102,14.7%,31.4%,48.0%,106,112,92.0,5.5着,5.3人気,26.7,726,244,0,0.0%,16.7%,16.7%,108.34,12.04,59.81
35,中山・芝1800, 15- 11- 10- 65/101,14.9%,25.7%,35.6%,84,72,91.1,6.2着,5.2人気,27.8,567,209,0,0.0%,10.9%,9.9%,109.13,12.13,59.38
36,京都・ダ1900, 15- 11- 10- 65/101,14.9%,25.7%,35.6%,89,85,110.7,5.3着,5.3人気,27.8,604,241,0,0.0%,10.9%,9.9%,121.10,12.75,56.48
37,東京・芝1600, 14- 27- 25-136/202,6.9%,20.3%,32.7%,52,74,51.3,6.0着,5.4人気,34.2,751,228,0,0.0%,13.4%,12.4%,94.73,11.84,60.81
38,中京・芝2000, 14- 21- 18- 80/133,10.5%,26.3%,39.8%,40,73,63.2,5.6着,4.8人気,21.0,386,207,0,0.0%,15.8%,13.5%,121.78,12.18,59.12
39,福島・芝2000, 13-  9-  8- 58/ 88,14.8%,25.0%,34.1%,94,76,106.4,6.5着,5.3人気,19.9,637,223,0,0.0%,10.2%,9.1%,121.77,12.18,59.13
40,阪神・芝1400, 12- 10- 10- 40/ 72,16.7%,30.6%,44.4%,110,93,110.7,5.0着,5.3人気,22.0,665,217,0,0.0%,13.9%,13.9%,81.61,11.66,61.76
41,中京・芝1400, 12-  8- 11- 61/ 92,13.0%,21.7%,33.7%,80,86,95.0,6.5着,5.6人気,24.9,617,257,0,0.0%,8.7%,12.0%,81.93,11.70,61.52
42,札幌・芝1500, 12-  6-  7- 43/ 68,17.6%,26.5%,36.8%,91,65,99.6,4.9着,4.5人気,18.5,517,178,0,0.0%,8.8%,10.3%,90.28,12.04,59.81
43,福島・ダ1150, 11- 21- 10- 73/115,9.6%,27.8%,36.5%,54,76,59.0,6.5着,4.9人気,19.8,567,211,0,0.0%,18.3%,8.7%,69.70,12.12,59.40
44,東京・芝2400, 11-  9-  7- 58/ 85,12.9%,23.5%,31.8%,65,70,88.0,6.1着,5.1人気,32.2,509,229,0,0.0%,10.6%,8.2%,146.73,12.23,58.88
45,小倉・ダ1000, 10- 11-  8- 59/ 88,11.4%,23.9%,33.0%,72,64,80.6,5.5着,5.2人気,25.3,641,196,0,0.0%,12.5%,9.1%,59.19,11.84,60.82
46,函館・ダ1000, 10- 11-  2- 35/ 58,17.2%,36.2%,39.7%,127,78,98.0,5.1着,4.8人気,22.6,740,197,0,0.0%,19.0%,3.4%,59.73,11.95,60.27
47,札幌・芝2000, 10-  9-  4- 45/ 68,14.7%,27.9%,33.8%,102,89,110.4,6.0着,5.4人気,18.1,698,266,0,0.0%,13.2%,5.9%,122.94,12.29,58.57
48,札幌・ダ1000, 10-  9-  2- 29/ 50,20.0%,38.0%,42.0%,67,71,98.9,4.8着,3.9人気,10.4,335,169,0,0.0%,18.0%,4.0%,59.77,11.95,60.23
49,京都・芝1200, 10-  7- 11- 53/ 81,12.3%,21.0%,34.6%,77,83,95.1,6.1着,5.8人気,23.1,631,251,0,0.0%,8.6%,13.6%,69.19,11.53,62.44
