順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
51,京都・芝1200, 12- 12- 13- 43/ 80,15.0%,30.0%,46.3%,94,127,104.9,6.0着,4.8人気,14.0,632,276,0,0.0%,15.0%,16.3%,69.15,11.53,62.47
52,阪神・芝1400, 12- 10-  8- 44/ 74,16.2%,29.7%,40.5%,76,77,103.6,5.4着,4.1人気,11.6,470,191,0,0.0%,13.5%,10.8%,81.50,11.64,61.84
53,函館・芝1800, 12-  8-  5- 41/ 66,18.2%,30.3%,37.9%,66,93,109.1,5.6着,4.5人気,15.3,368,246,0,0.0%,12.1%,7.6%,109.15,12.13,59.37
54,小倉・ダ1000, 11-  7-  7- 61/ 86,12.8%,20.9%,29.1%,50,52,66.5,6.4着,4.2人気,13.7,394,181,0,0.0%,8.1%,8.1%,59.41,11.88,60.59
55,新潟・芝2000, 11-  3-  6- 23/ 43,25.6%,32.6%,46.5%,187,104,134.3,4.8着,4.0人気,12.2,734,237,0,0.0%,7.0%,14.0%,123.15,12.32,58.46
56,中京・ダ1900, 10-  9-  6- 28/ 53,18.9%,35.8%,47.2%,152,105,111.5,5.0着,4.3人気,14.4,809,224,0,0.0%,17.0%,11.3%,121.18,12.76,56.45
57,札幌・芝1500, 10-  3- 10- 46/ 69,14.5%,18.8%,33.3%,85,77,91.3,5.5着,4.7人気,14.7,589,233,0,0.0%,4.3%,14.5%,90.27,12.04,59.82
58,京都・芝1400外,  9- 16-  9- 46/ 80,11.3%,31.3%,42.5%,80,104,70.1,4.8着,4.5人気,11.5,716,254,0,0.0%,20.0%,11.3%,81.54,11.65,61.81
59,札幌・芝1800,  9- 12- 10- 40/ 71,12.7%,29.6%,43.7%,82,84,74.8,4.9着,4.6人気,17.4,653,199,0,0.0%,16.9%,14.1%,110.42,12.27,58.68
60,中京・芝1200,  9- 11-  5- 33/ 58,15.5%,34.5%,43.1%,75,91,91.5,5.6着,4.3人気,12.2,487,213,0,0.0%,19.0%,8.6%,69.39,11.57,62.25
61,京都・芝2400外,  9-  9-  5- 29/ 52,17.3%,34.6%,44.2%,54,79,92.3,4.5着,3.9人気,10.7,313,180,0,0.0%,17.3%,9.6%,146.41,12.20,59.01
62,中京・芝2200,  9-  6-  7- 26/ 48,18.8%,31.3%,45.8%,71,75,88.0,4.9着,3.7人気,12.8,382,182,0,0.0%,12.5%,14.6%,134.34,12.21,58.95
