順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,京都・ダ1800, 76- 40- 46-228/390,19.5%,29.7%,41.5%,89,76,92.7,5.2着,3.5人気,10.6,461,186,0,0.0%,10.3%,11.8%,114.61,12.73,56.54
2,中山・ダ1800, 61- 66- 43-266/436,14.0%,29.1%,39.0%,50,69,71.0,5.7着,3.7人気,11.7,359,179,0,0.0%,15.1%,9.9%,115.84,12.87,55.94
3,中山・ダ1200, 56- 63- 38-224/381,14.7%,31.2%,41.2%,70,79,73.2,5.7着,3.7人気,10.8,480,195,0,0.0%,16.5%,10.0%,72.64,12.11,59.47
4,東京・ダ1600, 47- 43- 36-217/343,13.7%,26.2%,36.7%,95,77,73.1,5.9着,4.0人気,14.7,697,211,0,0.0%,12.5%,10.5%,98.63,12.33,58.40
5,阪神・ダ1800, 44- 28- 29-167/268,16.4%,26.9%,37.7%,60,74,79.8,5.5着,3.9人気,14.3,370,198,0,0.0%,10.4%,10.8%,115.38,12.82,56.16
6,東京・ダ1400, 42- 30- 28-178/278,15.1%,25.9%,36.0%,84,78,82.8,6.1着,4.2人気,17.4,558,218,0,0.0%,10.8%,10.1%,85.91,12.27,58.66
7,京都・ダ1400, 37- 29- 19-150/235,15.7%,28.1%,36.2%,88,70,83.1,6.0着,3.8人気,13.5,564,197,0,0.0%,12.3%,8.1%,86.08,12.30,58.55
8,東京・芝1800, 34- 24- 29- 92/179,19.0%,32.4%,48.6%,137,97,101.8,4.9着,4.0人気,17.5,725,206,0,0.0%,13.4%,16.2%,107.73,11.97,60.15
9,中京・ダ1800, 33- 31- 25-124/213,15.5%,30.0%,41.8%,95,80,79.5,5.5着,3.8人気,11.7,619,194,0,0.0%,14.6%,11.7%,115.17,12.80,56.26
10,新潟・ダ1800, 33- 27- 23-136/219,15.1%,27.4%,37.9%,65,69,80.0,5.6着,3.9人気,11.9,434,184,0,0.0%,12.3%,10.5%,115.14,12.79,56.28
11,中山・芝2000, 33- 22- 13- 83/151,21.9%,36.4%,45.0%,103,89,111.5,5.2着,3.8人気,12.7,475,203,0,0.0%,14.6%,8.6%,121.65,12.16,59.19
12,小倉・芝1200, 32- 31- 14-151/228,14.0%,27.6%,33.8%,76,70,74.3,5.8着,4.0人気,11.2,548,212,0,0.0%,13.6%,6.1%,69.64,11.61,62.04
13,小倉・ダ1700, 32- 28- 13-122/195,16.4%,30.8%,37.4%,84,71,81.3,6.3着,3.8人気,9.9,513,191,0,0.0%,14.4%,6.7%,106.88,12.57,57.26
14,中山・芝1600, 32- 26- 19-117/194,16.5%,29.9%,39.7%,77,76,90.3,5.4着,3.8人気,11.4,472,192,0,0.0%,13.4%,9.8%,94.87,11.86,60.72
15,函館・芝1200, 32- 16- 11- 72/131,24.4%,36.6%,45.0%,114,81,118.4,5.0着,3.4人気,9.1,467,184,0,0.0%,12.2%,8.4%,69.70,11.62,61.98
16,東京・芝1600, 30- 41- 25-129/225,13.3%,31.6%,42.7%,65,86,72.0,5.3着,4.0人気,14.8,493,205,0,0.0%,18.2%,11.1%,94.72,11.84,60.81
17,東京・芝1400, 27- 19- 17- 89/152,17.8%,30.3%,41.4%,106,91,93.3,5.2着,3.9人気,14.9,598,220,0,0.0%,12.5%,11.2%,82.03,11.72,61.44
18,中京・芝2000, 26- 19- 13- 75/133,19.5%,33.8%,43.6%,89,82,107.9,5.4着,4.2人気,17.2,458,195,0,0.0%,14.3%,9.8%,121.81,12.18,59.11
19,中京・ダ1400, 26- 15- 15- 86/142,18.3%,28.9%,39.4%,97,82,107.2,5.7着,4.2人気,15.0,531,213,0,0.0%,10.6%,10.6%,85.73,12.25,58.79
20,新潟・ダ1200, 25- 28- 20-107/180,13.9%,29.4%,40.6%,64,97,73.2,5.4着,3.6人気,9.5,466,240,0,0.0%,15.6%,11.1%,72.73,12.12,59.40
21,京都・芝2000, 25- 26- 14- 80/145,17.2%,35.2%,44.8%,74,71,85.5,4.8着,3.6人気,11.4,430,165,0,0.0%,17.9%,9.7%,121.75,12.17,59.14
22,京都・ダ1200, 24- 26- 22-124/196,12.2%,25.5%,36.7%,62,68,59.1,6.0着,3.7人気,10.0,514,187,0,0.0%,13.3%,11.2%,73.18,12.20,59.03
23,小倉・芝1800, 24- 11- 15- 80/130,18.5%,26.9%,38.5%,111,97,106.5,5.3着,4.0人気,12.3,602,254,0,0.0%,8.5%,11.5%,109.47,12.16,59.19
24,京都・芝1600, 23- 26- 11- 51/111,20.7%,44.1%,54.1%,109,105,114.2,4.6着,3.8人気,12.3,530,202,0,0.0%,23.4%,9.9%,95.54,11.94,60.29
25,函館・ダ1700, 22- 21- 16- 56/115,19.1%,37.4%,51.3%,84,92,91.5,4.6着,3.6人気,8.8,443,183,0,0.0%,18.3%,13.9%,106.37,12.51,57.53
26,福島・芝1200, 21- 25- 20-105/171,12.3%,26.9%,38.6%,53,71,69.5,5.9着,4.0人気,11.4,432,191,0,0.0%,14.6%,11.7%,69.99,11.66,61.73
27,東京・芝2000, 21- 17- 23- 68/129,16.3%,29.5%,47.3%,67,85,82.5,4.7着,4.1人気,18.3,418,187,0,0.0%,13.2%,17.8%,120.86,12.09,59.57
28,中山・芝1200, 21- 16- 13- 56/106,19.8%,34.9%,47.2%,141,107,105.9,5.2着,4.2人気,16.0,717,227,0,0.0%,15.1%,12.3%,68.83,11.47,62.76
29,阪神・芝1800外, 21-  6-  8- 51/ 86,24.4%,31.4%,40.7%,131,69,128.8,5.3着,3.9人気,23.8,540,187,0,0.0%,7.0%,9.3%,107.21,11.91,60.44
30,京都・芝1800外, 20- 25- 16- 68/129,15.5%,34.9%,47.3%,63,77,80.0,4.8着,3.9人気,17.3,412,170,0,0.0%,19.4%,12.4%,107.88,11.99,60.07
31,福島・ダ1700, 20- 20- 21-115/176,11.4%,22.7%,34.7%,48,63,63.9,6.3着,4.0人気,10.9,423,184,0,0.0%,11.4%,11.9%,107.66,12.67,56.85
32,福島・ダ1150, 20- 13- 15- 63/111,18.0%,29.7%,43.2%,177,95,86.3,5.4着,3.7人気,10.9,987,222,0,0.0%,11.7%,13.5%,69.59,12.10,59.49
33,新潟・芝1800外, 20- 10-  5- 71/106,18.9%,28.3%,33.0%,91,59,114.3,6.0着,4.7人気,19.4,486,179,0,0.0%,9.4%,4.7%,108.54,12.06,59.70
34,阪神・ダ1400, 19- 18- 24-107/168,11.3%,22.0%,36.3%,74,71,60.1,6.2着,3.9人気,11.9,655,196,0,0.0%,10.7%,14.3%,86.08,12.30,58.55
35,札幌・ダ1700, 17- 18- 19-101/155,11.0%,22.6%,34.8%,52,64,54.5,6.0着,3.7人気,11.7,479,185,0,0.0%,11.6%,12.3%,107.55,12.65,56.91
36,中山・芝1800, 17- 16- 11- 56/100,17.0%,33.0%,44.0%,112,89,98.3,5.1着,4.3人気,13.2,663,203,0,0.0%,16.0%,11.0%,109.06,12.12,59.42
37,函館・ダ1000, 17-  8-  8- 28/ 61,27.9%,41.0%,54.1%,108,77,106.3,4.2着,2.6人気,5.4,388,147,0,0.0%,13.1%,13.1%,59.60,11.92,60.40
38,小倉・芝2000, 16- 16- 16- 75/123,13.0%,26.0%,39.0%,66,73,65.0,6.0着,4.0人気,12.7,515,188,0,0.0%,13.0%,13.0%,122.33,12.23,58.86
39,阪神・芝1600外, 15- 15- 13- 85/128,11.7%,23.4%,33.6%,55,69,64.6,6.3着,4.4人気,15.9,475,206,0,0.0%,11.7%,10.2%,94.73,11.84,60.81
40,中京・芝1600, 15- 13- 16- 62/106,14.2%,26.4%,41.5%,85,79,84.1,5.6着,4.4人気,15.8,603,200,0,0.0%,12.3%,15.1%,95.16,11.90,60.53
41,札幌・芝1500, 14- 11-  8- 31/ 64,21.9%,39.1%,51.6%,103,94,108.7,4.4着,3.5人気,9.8,474,189,0,0.0%,17.2%,12.5%,90.01,12.00,59.99
42,京都・芝1600外, 14-  9-  7- 50/ 80,17.5%,28.8%,37.5%,78,88,113.6,5.7着,4.4人気,16.2,446,243,0,0.0%,11.3%,8.8%,94.12,11.77,61.20
43,札幌・芝1200, 14-  5-  7- 48/ 74,18.9%,25.7%,35.1%,105,74,107.0,6.3着,3.8人気,9.2,556,220,0,0.0%,6.8%,9.5%,70.05,11.67,61.67
44,阪神・ダ1200, 13- 19- 14- 80/126,10.3%,25.4%,36.5%,53,75,54.4,5.9着,3.8人気,13.0,518,208,0,0.0%,15.1%,11.1%,73.23,12.21,58.99
45,京都・ダ1900, 13- 15-  9- 65/102,12.7%,27.5%,36.3%,45,61,59.8,5.5着,3.6人気,12.5,359,169,0,0.0%,14.7%,8.8%,121.48,12.79,56.30
46,中京・ダ1200, 13- 13-  9- 54/ 89,14.6%,29.2%,39.3%,50,77,71.5,6.1着,3.5人気,10.8,348,196,0,0.0%,14.6%,10.1%,73.11,12.19,59.09
47,小倉・障2860芝, 13- 10- 10- 32/ 65,20.0%,35.4%,50.8%,64,78,91.5,4.4着,3.3人気,8.8,325,155,0,0.0%,15.4%,15.4%,194.30,13.59,52.99
48,小倉・ダ1000, 12- 14-  6- 50/ 82,14.6%,31.7%,39.0%,55,66,64.4,5.2着,3.1人気,8.3,376,171,0,0.0%,17.1%,7.3%,59.15,11.83,60.86
49,京都・芝1200, 12- 11-  4- 50/ 77,15.6%,29.9%,35.1%,69,69,85.9,6.2着,4.2人気,12.0,447,199,0,0.0%,14.3%,5.2%,69.17,11.53,62.46
50,函館・芝1800, 12-  6-  8- 39/ 65,18.5%,27.7%,40.0%,51,55,86.5,5.8着,3.9人気,10.3,278,156,0,0.0%,9.2%,12.3%,109.06,12.12,59.42
51,新潟・芝2000, 12-  6-  3- 24/ 45,26.7%,40.0%,46.7%,124,77,122.6,4.7着,3.2人気,7.4,468,166,0,0.0%,13.3%,6.7%,123.12,12.31,58.48
52,中京・芝1400, 11- 20-  7- 57/ 95,11.6%,32.6%,40.0%,82,89,67.3,5.9着,4.5人気,16.7,715,223,0,0.0%,21.1%,7.4%,81.80,11.69,61.61
53,福島・芝1800, 11- 19- 14- 56/100,11.0%,30.0%,44.0%,121,95,62.7,5.5着,3.8人気,10.2,1100,218,0,0.0%,19.0%,14.0%,109.50,12.17,59.18
54,新潟・芝1400, 11- 11-  5- 49/ 76,14.5%,28.9%,35.5%,81,79,82.6,6.2着,4.1人気,11.7,562,224,0,0.0%,14.5%,6.6%,82.63,11.80,61.00
55,札幌・ダ1000, 11-  6-  4- 35/ 56,19.6%,30.4%,37.5%,110,93,96.7,4.8着,3.5人気,8.5,564,250,0,0.0%,10.7%,7.1%,59.85,11.97,60.15
56,東京・芝2400, 10- 14- 12- 56/ 92,10.9%,26.1%,39.1%,27,69,55.9,5.6着,4.0人気,16.1,252,179,0,0.0%,15.2%,13.0%,146.65,12.22,58.92
57,東京・ダ2100, 10- 13-  9- 71/103,9.7%,22.3%,31.1%,62,70,57.8,6.8着,4.5人気,17.3,646,227,0,0.0%,12.6%,8.7%,133.44,12.71,56.66
58,新潟・障2850芝, 10-  7-  3- 14/ 34,29.4%,50.0%,58.8%,178,98,134.2,3.4着,2.8人気,6.1,606,168,0,0.0%,20.6%,8.8%,188.02,13.19,54.57
59,阪神・芝1200, 10-  5-  8- 27/ 50,20.0%,30.0%,46.0%,80,88,106.6,5.0着,3.8人気,9.0,403,192,0,0.0%,10.0%,16.0%,69.08,11.51,62.53
60,札幌・芝1800,  9- 17-  9- 33/ 68,13.2%,38.2%,51.5%,72,94,60.0,4.4着,3.4人気,8.6,547,194,0,0.0%,25.0%,13.2%,110.12,12.24,58.84
61,福島・芝2000,  9- 14- 12- 54/ 89,10.1%,25.8%,39.3%,30,82,57.3,6.0着,4.3人気,12.1,302,209,0,0.0%,15.7%,13.5%,121.59,12.16,59.21
62,京都・芝1400外,  9- 12-  6- 50/ 77,11.7%,27.3%,35.1%,79,86,70.7,6.2着,4.3人気,12.4,678,246,0,0.0%,15.6%,7.8%,81.61,11.66,61.76
63,阪神・芝2000,  9- 11- 16- 62/ 98,9.2%,20.4%,36.7%,46,72,54.8,5.4着,3.9人気,14.3,511,215,0,0.0%,11.2%,16.3%,121.54,12.15,59.24
