順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値
117,中山・障4100芝,  0-  0-  0-  2/  2,0.0%,0.0%,0.0%,0,0
118,中京・障3330芝,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0
119,東京・障3000ダ,  0-  0-  0-  9/  9,0.0%,0.0%,0.0%,0,0
120,中山・障3570芝,  0-  0-  0-  2/  2,0.0%,0.0%,0.0%,0,0
121,東京・芝3400,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0
122,中山・障4260芝,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0
123,新潟・ダ2500,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0
124,福島・ダ2400,  0-  0-  0-  3/  3,0.0%,0.0%,0.0%,0,0
125,東京・障3110芝,  0-  0-  0-  2/  2,0.0%,0.0%,0.0%,0,0
126,阪神・障3900芝,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0
127,阪神・障3140芝,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0
128,京都・芝3200外,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0
