順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
108,東京・芝2500,  1-  0-  1-  6/  8,12.5%,12.5%,25.0%,45,85,124.4,7.8着,6.5人気,34.6,360,340,0,0.0%,0.0%,12.5%,152.16,12.17,59.15
109,札幌・ダ2400,  1-  0-  1-  4/  6,16.7%,16.7%,33.3%,60,56,124.2,7.2着,5.2人気,15.0,360,170,0,0.0%,0.0%,16.7%,160.22,13.35,53.93
110,新潟・障3290芝,  1-  0-  1-  1/  3,33.3%,33.3%,66.7%,306,106,298.6,4.7着,4.3人気,9.6,920,160,0,0.0%,0.0%,33.3%,219.90,13.37,53.86
111,東京・芝3400,  1-  0-  0-  2/  3,33.3%,33.3%,33.3%,103,40,226.4,5.3着,5.7人気,12.8,310,120,0,0.0%,0.0%,0.0%,212.43,12.50,57.62
112,京都・芝3200外,  1-  0-  0-  2/  3,33.3%,33.3%,33.3%,60,36,105.9,7.7着,4.0人気,12.0,180,110,0,0.0%,0.0%,0.0%,196.40,12.28,58.66
113,中京・芝3000,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,340,160,340.0,1.0着,1.0人気,3.4,340,160,0,0.0%,0.0%,0.0%,190.20,12.68,56.78
114,福島・障2770芝,  0-  4-  1-  9/ 14,0.0%,28.6%,35.7%,0,142,0.0,5.7着,5.3人気,21.2,,398,0,0.0%,28.6%,7.1%,186.00,13.43,53.61
115,中京・障3000芝,  0-  3-  4-  6/ 13,0.0%,23.1%,53.8%,0,135,0.0,4.5着,4.4人気,17.7,,251,0,0.0%,23.1%,30.8%,201.58,13.44,53.58
116,中山・障3350芝,  0-  3-  0-  2/  5,0.0%,60.0%,60.0%,0,114,0.0,4.0着,3.6人気,9.6,,190,0,0.0%,60.0%,0.0%,223.88,13.37,53.87
117,函館・ダ2400,  0-  1-  1-  6/  8,0.0%,12.5%,25.0%,0,41,0.0,5.6着,5.0人気,16.1,,165,0,0.0%,12.5%,12.5%,156.65,13.05,55.15
118,福島・ダ2400,  0-  1-  1-  3/  5,0.0%,20.0%,40.0%,0,114,0.0,6.4着,4.8人気,13.8,,285,0,0.0%,20.0%,20.0%,155.82,12.99,55.45
119,京都・障3170芝,  0-  1-  1-  1/  3,0.0%,33.3%,66.7%,0,143,0.0,4.3着,4.0人気,9.5,,215,0,0.0%,33.3%,33.3%,217.37,13.71,52.50
120,中山・障3570芝,  0-  1-  1-  0/  2,0.0%,50.0%,100.0%,0,200,0.0,2.5着,4.0人気,7.9,,200,0,0.0%,50.0%,50.0%,240.30,13.46,53.48
121,中京・障3300芝,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,42,0.0,5.4着,3.8人気,7.0,,210,0,0.0%,20.0%,0.0%,219.92,13.33,54.02
122,中山・障4100芝,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,27,0.0,4.3着,4.0人気,14.3,,110,0,0.0%,25.0%,0.0%,285.78,13.94,51.65
123,京都・芝3000外,  0-  1-  0-  7/  8,0.0%,12.5%,12.5%,0,23,0.0,7.6着,3.8人気,7.9,,190,0,0.0%,12.5%,0.0%,186.28,12.42,57.98
124,京都・障3930芝,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,66,0.0,5.7着,5.0人気,11.6,,200,0,0.0%,33.3%,0.0%,283.27,14.42,49.95
125,中京・障3330芝,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,440,0.0,5.5着,5.0人気,18.2,,880,0,0.0%,50.0%,0.0%,220.05,13.22,54.48
126,阪神・障3140芝,  0-  0-  3-  2/  5,0.0%,0.0%,60.0%,0,108,0.0,5.8着,5.4人気,34.7,,180,0,0.0%,0.0%,60.0%,213.50,13.60,52.95
127,小倉・ダ2400,  0-  0-  2-  4/  6,0.0%,0.0%,33.3%,0,33,0.0,7.2着,3.5人気,10.5,,200,0,0.0%,0.0%,33.3%,156.05,13.00,55.37
128,中山・芝3600,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,53,0.0,7.0着,2.0人気,4.4,,160,0,0.0%,0.0%,33.3%,227.30,12.63,57.02
129,中山・障3210芝,  0-  0-  1-  3/  4,0.0%,0.0%,25.0%,0,35,0.0,5.8着,7.5人気,28.4,,140,0,0.0%,0.0%,25.0%,220.00,13.71,52.53
130,中山・障4250芝,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0,0.0,4.0着,4.0人気,14.7,,,0,0.0%,0.0%,0.0%,288.80,13.59,52.98
131,函館・芝1000,  0-  0-  0-  3/  3,0.0%,0.0%,0.0%,0,0,0.0,5.7着,5.3人気,17.0,,,0,0.0%,0.0%,0.0%,58.60,11.72,61.43
132,中山・ダ2500,  0-  0-  0-  3/  3,0.0%,0.0%,0.0%,0,0,0.0,8.7着,5.7人気,11.6,,,0,0.0%,0.0%,0.0%,166.50,13.32,54.05
133,中山・障4260芝,  0-  0-  0-  2/  2,0.0%,0.0%,0.0%,0,0,0.0,7.0着,6.5人気,31.6,,,0,0.0%,0.0%,0.0%,294.10,13.81,52.15
134,東京・障3100ダ,  0-  0-  0-  1/  1,0.0%,0.0%,0.0%,0,0,0.0,7.0着,7.0人気,22.1,,,0,0.0%,0.0%,0.0%,213.00,13.74,52.39
