順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,中山・ダ1800, 59- 70- 52-248/429,13.8%,30.1%,42.2%,81,81,76.7,5.5着,3.8人気,11.0,590,192,0,0.0%,16.3%,12.1%,115.82,12.87,55.95
2,東京・ダ1600, 50- 44- 42-216/352,14.2%,26.7%,38.6%,107,78,79.4,5.7着,4.0人気,14.5,758,204,0,0.0%,12.5%,11.9%,98.62,12.33,58.40
3,京都・ダ1800, 49- 62- 43-234/388,12.6%,28.6%,39.7%,60,78,76.2,5.3着,4.0人気,14.2,476,198,0,0.0%,16.0%,11.1%,114.74,12.75,56.48
4,中山・ダ1200, 46- 44- 46-250/386,11.9%,23.3%,35.2%,53,81,71.2,5.9着,4.2人気,13.3,447,232,0,0.0%,11.4%,11.9%,72.71,12.12,59.41
5,東京・ダ1400, 43- 32- 31-177/283,15.2%,26.5%,37.5%,83,79,86.8,5.8着,4.0人気,13.6,548,212,0,0.0%,11.3%,11.0%,85.93,12.28,58.66
6,阪神・ダ1800, 37- 37- 34-173/281,13.2%,26.3%,38.4%,84,76,73.5,5.3着,3.8人気,12.0,643,199,0,0.0%,13.2%,12.1%,115.25,12.81,56.23
7,京都・ダ1400, 37- 27- 32-151/247,15.0%,25.9%,38.9%,78,79,92.2,5.7着,4.0人気,12.0,522,208,0,0.0%,10.9%,13.0%,85.99,12.28,58.61
8,小倉・芝1200, 34- 29- 23-144/230,14.8%,27.4%,37.4%,97,89,93.1,6.0着,4.0人気,10.8,659,245,0,0.0%,12.6%,10.0%,69.73,11.62,61.95
9,新潟・ダ1800, 29- 28- 37-133/227,12.8%,25.1%,41.4%,73,98,73.0,5.2着,4.0人気,11.3,577,238,0,0.0%,12.3%,16.3%,115.00,12.78,56.35
10,中京・ダ1800, 29- 28- 31-130/218,13.3%,26.1%,40.4%,77,88,80.2,5.1着,4.0人気,14.8,584,223,0,0.0%,12.8%,14.2%,115.14,12.79,56.28
11,小倉・ダ1700, 29- 24- 25-120/198,14.6%,26.8%,39.4%,94,91,84.5,5.7着,3.8人気,9.0,645,232,0,0.0%,12.1%,12.6%,106.66,12.55,57.38
12,福島・芝1200, 29- 24- 24- 96/173,16.8%,30.6%,44.5%,114,110,105.3,5.2着,4.0人気,11.8,683,249,0,0.0%,13.9%,13.9%,70.04,11.67,61.68
13,東京・芝1600, 29- 22- 32-144/227,12.8%,22.5%,36.6%,63,72,80.9,5.3着,4.3人気,15.1,497,200,0,0.0%,9.7%,14.1%,94.80,11.85,60.76
14,中山・芝1600, 28- 28- 20-125/201,13.9%,27.9%,37.8%,73,90,81.7,5.6着,4.1人気,13.4,527,238,0,0.0%,13.9%,10.0%,94.86,11.86,60.72
15,阪神・ダ1400, 28- 21- 28-102/179,15.6%,27.4%,43.0%,86,92,95.7,5.5着,4.0人気,10.9,555,214,0,0.0%,11.7%,15.6%,85.87,12.27,58.69
16,東京・芝1800, 28- 18- 29-117/192,14.6%,24.0%,39.1%,84,79,89.0,5.3着,4.1人気,14.2,582,204,0,0.0%,9.4%,15.1%,107.92,11.99,60.05
17,中京・芝2000, 28- 16- 13- 89/146,19.2%,30.1%,39.0%,136,73,110.7,5.1着,3.8人気,13.5,711,201,0,0.0%,11.0%,8.9%,121.88,12.19,59.07
18,東京・芝1400, 26- 13- 20-105/164,15.9%,23.8%,36.0%,106,69,81.7,5.4着,3.8人気,11.2,673,193,0,0.0%,7.9%,12.2%,82.10,11.73,61.39
19,札幌・ダ1700, 25- 20- 10- 98/153,16.3%,29.4%,35.9%,87,72,88.5,5.1着,3.7人気,9.2,533,202,0,0.0%,13.1%,6.5%,107.33,12.63,57.02
20,新潟・ダ1200, 24- 22- 29-105/180,13.3%,25.6%,41.7%,86,96,76.1,5.5着,3.7人気,9.5,652,231,0,0.0%,12.2%,16.1%,72.76,12.13,59.38
21,京都・ダ1200, 24- 22- 25-125/196,12.2%,23.5%,36.2%,81,74,76.3,5.7着,4.1人気,14.0,667,206,0,0.0%,11.2%,12.8%,73.12,12.19,59.08
22,京都・芝2000, 23- 20- 15- 94/152,15.1%,28.3%,38.2%,77,69,90.7,5.0着,4.1人気,13.0,509,185,0,0.0%,13.2%,9.9%,121.82,12.18,59.10
23,福島・ダ1700, 22- 16- 23-115/176,12.5%,21.6%,34.7%,74,72,78.5,6.0着,4.0人気,11.2,593,210,0,0.0%,9.1%,13.1%,107.59,12.66,56.88
24,中京・ダ1400, 22- 14- 27- 85/148,14.9%,24.3%,42.6%,106,88,86.5,5.3着,4.1人気,11.1,714,209,0,0.0%,9.5%,18.2%,85.68,12.24,58.82
25,中山・芝2000, 21- 22- 18- 99/160,13.1%,26.9%,38.1%,70,74,78.1,5.5着,4.1人気,12.9,540,201,0,0.0%,13.8%,11.3%,121.61,12.16,59.21
26,小倉・芝2000, 21-  8- 10- 87/126,16.7%,23.0%,31.0%,102,60,95.6,6.1着,3.7人気,9.2,615,197,0,0.0%,6.3%,7.9%,122.39,12.24,58.83
27,京都・芝1800外, 20- 20- 19- 79/138,14.5%,29.0%,42.8%,82,81,85.0,4.6着,4.0人気,12.8,568,193,0,0.0%,14.5%,13.8%,107.82,11.98,60.10
28,阪神・芝1600外, 20- 15- 17- 85/137,14.6%,25.5%,38.0%,103,80,89.9,5.5着,4.3人気,13.5,708,216,0,0.0%,10.9%,12.4%,94.62,11.83,60.87
29,中京・芝1600, 20-  9- 20- 71/120,16.7%,24.2%,40.8%,103,76,93.5,5.5着,4.0人気,12.7,619,191,0,0.0%,7.5%,16.7%,95.19,11.90,60.51
30,福島・ダ1150, 19- 15- 14- 65/113,16.8%,30.1%,42.5%,108,105,96.6,5.2着,4.1人気,14.2,644,247,0,0.0%,13.3%,12.4%,69.51,12.09,59.56
31,函館・芝1200, 18- 20- 27- 72/137,13.1%,27.7%,47.4%,71,106,80.2,4.7着,3.8人気,9.5,546,232,0,0.0%,14.6%,19.7%,69.58,11.60,62.08
32,函館・ダ1700, 16- 21- 13- 59/109,14.7%,33.9%,45.9%,83,84,73.2,5.1着,3.6人気,9.4,567,183,0,0.0%,19.3%,11.9%,106.33,12.51,57.56
33,阪神・芝2000, 16- 19- 20- 52/107,15.0%,32.7%,51.4%,111,82,82.3,4.4着,4.0人気,13.9,743,185,0,0.0%,17.8%,18.7%,121.35,12.14,59.33
34,阪神・ダ1200, 16- 15- 16- 82/129,12.4%,24.0%,36.4%,80,79,81.0,5.4着,4.1人気,11.6,646,224,0,0.0%,11.6%,12.4%,73.11,12.19,59.09
35,福島・芝1800, 16-  9- 11- 61/ 97,16.5%,25.8%,37.1%,188,85,97.3,5.7着,4.0人気,11.2,1145,230,0,0.0%,9.3%,11.3%,109.43,12.16,59.22
36,小倉・芝1800, 15- 20- 16- 79/130,11.5%,26.9%,39.2%,74,83,66.5,5.5着,3.9人気,12.0,643,217,0,0.0%,15.4%,12.3%,109.60,12.18,59.13
37,中山・芝1200, 15- 19- 13- 60/107,14.0%,31.8%,43.9%,101,99,88.7,5.1着,4.4人気,13.5,726,227,0,0.0%,17.8%,12.1%,68.78,11.46,62.81
38,京都・ダ1900, 15- 15- 12- 58/100,15.0%,30.0%,42.0%,78,91,80.7,4.8着,3.9人気,13.3,523,219,0,0.0%,15.0%,12.0%,120.79,12.71,56.63
39,新潟・芝1600外, 15-  9- 13- 46/ 83,18.1%,28.9%,44.6%,90,86,113.1,5.4着,4.2人気,13.6,498,205,0,0.0%,10.8%,15.7%,95.46,11.93,60.34
40,京都・芝1600外, 15-  7- 11- 53/ 86,17.4%,25.6%,38.4%,67,69,94.7,5.7着,3.8人気,9.5,386,186,0,0.0%,8.1%,12.8%,94.06,11.76,61.24
41,阪神・芝1800外, 15-  6- 16- 52/ 89,16.9%,23.6%,41.6%,99,81,100.2,4.8着,3.9人気,13.1,592,207,0,0.0%,6.7%,18.0%,107.05,11.89,60.53
42,新潟・芝2000, 15-  6-  4- 17/ 42,35.7%,50.0%,59.5%,180,104,178.1,4.1着,3.5人気,10.1,507,183,0,0.0%,14.3%,9.5%,123.06,12.31,58.51
43,東京・芝2400, 14- 14- 15- 45/ 88,15.9%,31.8%,48.9%,65,76,86.2,4.4着,3.6人気,10.7,414,159,0,0.0%,15.9%,17.0%,146.26,12.19,59.07
44,東京・ダ2100, 13- 20-  8- 74/115,11.3%,28.7%,35.7%,87,73,70.7,5.6着,4.4人気,15.9,772,206,0,0.0%,17.4%,7.0%,133.01,12.67,56.84
45,京都・芝1600, 13- 16-  8- 71/108,12.0%,26.9%,34.3%,64,68,72.4,5.3着,4.1人気,11.9,535,201,0,0.0%,14.8%,7.4%,95.64,11.96,60.22
46,京都・芝1200, 13- 16-  6- 45/ 80,16.3%,36.3%,43.8%,119,102,102.4,5.6着,4.1人気,9.1,737,234,0,0.0%,20.0%,7.5%,69.15,11.53,62.47
47,福島・芝2000, 13- 15- 18- 44/ 90,14.4%,31.1%,51.1%,76,106,83.2,5.2着,3.8人気,12.0,532,209,0,0.0%,16.7%,20.0%,121.62,12.16,59.20
